text,line,start_pos,end_pos,file,label_Frenard,label_SALLY,label_struck
": Licensee: Facility: Location: Dates: Inspector: Accompanying Personnel: 050-00445; 050-00446; 072-00074 NPF-87; NPF-89 05000445/2013009; 05000446/2013009; 07200074/2013001 Luminant Generation Company LLC Comanche Peak Nuclear Power Plant, Units 1, 2, and Independent Spent Fuel Storage Installation (ISFSI) P.O.",29,76,389,ML13298A103.txt,U,U,U
"Box 1002 Glen Rose, TX 76043 September 16 - 20, 2013 Lee Brookhart, Senior ISFSI Inspector Repository & Spent Fuel Safety Branch Eric Simpson, Health Physicist, Inspector-in-Training, Repository & Spent Fuel Safety Branch D. Blair Spitzberg, Ph.D., Chief Repository & Spent Fuel Safety Branch Division of Nuclear Materials Safety",29,389,718,ML13298A103.txt,U,U,U
Approved By:,31,0,12,ML13298A103.txt,U,U,U
Enclosure,33,0,9,ML13298A103.txt,U,U,U
"SUMMARY OF FINDINGS IR 05000445/2013009; 05000446/2013009; and 07200074/2013001; 09/16 - 09/20/2013; Comanche Peak Nuclear Power Plant, Units 1, 2, and Independent Spent Fuel Storage Installation; Routine ISFSI Inspection Report The report covers an announced inspection by one regional inspector and one inspector-intraining.",35,0,327,ML13298A103.txt,U,U,U
No findings or violations associated with NRC regulations were identified.,35,327,401,ML13298A103.txt,U,U,U
"The significance of any Part 50 findings are indicated by their color (Green, White, Yellow, or Red) using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process"".",35,401,583,ML13298A103.txt,U,U,U
"The crosscutting aspect is determined using IMC 0310, ""Components Within the Cross-Cutting Areas"".",35,583,681,ML13298A103.txt,U,U,U
Findings for which the significance determination process does not apply may be Green or be assigned a severity level after the NRC management review.,35,681,831,ML13298A103.txt,U,U,U
"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 4, dated December 2006.",35,831,1009,ML13298A103.txt,U,U,U
"In accordance with IMC 0612 ""Power Reactor Inspection Reports"", all of the Part 72 ISFSI inspection findings follow the traditional enforcement process and are not dispositioned through the Reactor Oversight Process or the Significance Determination Process.",35,1009,1267,ML13298A103.txt,U,U,U
A. NRC-Identified Findings and Self-Revealing Findings No findings were identified.,35,1267,1350,ML13298A103.txt,U,U,U
B. Licensee-Identified Violations None.,35,1350,1389,ML13298A103.txt,U,U,U
-2-,37,0,3,ML13298A103.txt,U,,U
PLANT AND ISFSI STATUS Comanche Peak Nuclear Power Plant's Independent Spent Fuel Storage Installation (ISFSI) stored eleven loaded Holtec HI-STORM 100 casks at the time of the routine inspection.,39,0,197,ML13298A103.txt,U,U,U
Comanche Peak was in the middle of a nine cask loading campaign and were performing the loading operations associated with cask number twelve at the time of the routine inspection.,39,197,377,ML13298A103.txt,U,U,U
Comanche Peak had loaded the first nine canisters during their first loading campaign from February 2012 through June 2012.,39,377,500,ML13298A103.txt,U,U,U
"Comanche Peak utilized a general Part 72 license in accordance with the Holtec HI-STORM 100 System, approved under Certificate of Compliance 1014 License Amendment 7 and Final Safety Analysis Report (FSAR) Revision 9.",39,500,717,ML13298A103.txt,U,U,U
"The version of the Holtec systems used at the Comanche Peak Power Plant included the MPC-32, a 32 fuel bundle multi-purpose canister, and the HI-STORM 100S Version B overpack.",39,717,892,ML13298A103.txt,U,,U
The ISFSI pad was approximately 262 feet long by 102 feet wide and was designed to accommodate 84 storage casks.,39,892,1004,ML13298A103.txt,U,U,U
The storage casks were located outside the Part 50 facilities protected area within its own protected area.,39,1004,1111,ML13298A103.txt,U,U,U
A tour of the ISFSI pad and adjacent area found the loaded storage casks to be in good physical condition.,39,1111,1217,ML13298A103.txt,U,U,U
A review of the environmental monitoring program demonstrated that radiological exposures to offsite locations due to the ISFSI were low and within regulatory limits.,39,1217,1383,ML13298A103.txt,U,U,U
REPORT DETAILS 4.,39,1383,1400,ML13298A103.txt,U,U,U
OTHER ACTIVITIES,39,1400,1416,ML13298A103.txt,U,U,U
4OA5 Other Activities .1 a.,41,0,27,ML13298A103.txt,U,U,U
Operations of an Independent Spent Fuel Storage Installation at Operating Plants (60855.1) Inspection Scope (1) Quality Assurance Audits and Surveillances An onsite review of Quality Assurance (QA) audit reports and surveillances related to dry cask storage activities at Comanche Peak Nuclear Power Plant (CPNPP) was performed.,41,27,355,ML13298A103.txt,U,U,U
"Since the last inspection in June 2012, Luminant (parent company of CPNPP) had issued several vendor surveillance reports, a Quality Control (QC) audit of HI-STORM 100 concrete pour activities, and a reactor engineering audit.",41,355,581,ML13298A103.txt,U,U,U
"The aforementioned documents, as well as a preliminary surveillance of the ongoing cask loading campaign (UFO2), in-progress at the time of the inspection, were made available for review as part of the inspection.",41,581,794,ML13298A103.txt,U,U,U
The audit reports and surveillances were reviewed to see what kinds of issues were being identified by the licensee.,41,794,910,ML13298A103.txt,U,U,U
Audit findings and recommendations were placed in the licensee's corrective action program (CAP) as condition reports (CRs).,41,910,1034,ML13298A103.txt,U,U,U
Copies of those CRs were requested to see how the issues were addressed and subsequently resolved.,41,1034,1132,ML13298A103.txt,U,U,U
The QA documents reviewed for this inspection pointed to eight CRs which were reviewed by the inspectors.,41,1132,1237,ML13298A103.txt,U,U,U
"In each situation, the reviewed CRs were assigned to the appropriate licensee staff for review.",41,1237,1332,ML13298A103.txt,U,U,U
All CRs reviewed were found to be properly addressed and subsequently closed out.,41,1332,1413,ML13298A103.txt,U,U,U
Overall the QA program appeared to be well focused with a suitably low threshold for uncovering issues and issuing CRs to address any identified issues.,41,1413,1565,ML13298A103.txt,U,U,U
-3-,43,0,3,ML13298A103.txt,U,U,U
(2) Radiological Conditions Related to Stored Casks Radiological conditions at the Comanche Peak Nuclear Power Plant ISFSI were determined from on-site ISFSI pad inspection activities and a paperwork review of ISFSI surveys and quarterly General Area Monitoring (GAM) dosimeter results.,45,0,287,ML13298A103.txt,U,U,U
A recent radiological survey was provided to NRC inspectors prior to their arrival onsite.,45,287,377,ML13298A103.txt,U,U,U
"For the inspection of the ISFSI, a radiation protection (RP) technician accompanied the NRC inspectors into the protected area (PA) to perform a walkdown of the ISFSI pad.",45,377,548,ML13298A103.txt,U,U,U
The RP technician provided NRC with a wide-range energy-compensated Geiger-Mueller (GM) instrument to measure gamma radiation.,45,548,674,ML13298A103.txt,U,U,U
Neutron monitoring equipment was not provided at the time of the ISFSI pad walkdown.,45,674,758,ML13298A103.txt,U,U,U
The inspectors found the 11 loaded HI-STORM 100 casks to be in excellent physical condition.,45,758,850,ML13298A103.txt,U,U,U
No flammable or combustible materials were observed inside the ISFSI protected area.,45,850,934,ML13298A103.txt,U,U,U
An NRC inspector took general area radiological measurements to confirm the levels reported on the most recent site survey.,45,934,1057,ML13298A103.txt,U,U,U
"Survey measurements were taken around the perimeter of the ISFSI pad, at selected cask lower vent locations, and at environmental dosimeter monitoring locations on the ISFSI outer (nuisance) fencing.",45,1057,1256,ML13298A103.txt,U,U,U
General area background readings before reaching the ISFSI were 7 ÂµR/hr.,45,1256,1328,ML13298A103.txt,U,U,U
"Approaching the ISFSI pad from the west, the exposure rate reached 11 ÂµR/hr at the outer fence entrance.",45,1328,1432,ML13298A103.txt,U,U,U
"Proceeding further eastward to the PA fence, the levels rose to 14 ÂµR/hr.",45,1432,1505,ML13298A103.txt,U,U,U
"On the western edge of the ISFSI pad, levels trended slightly upwards to 16 ÂµR/hr and halfway across the pad, a roped-off ISFSI radiation area boundary measured 41 ÂµR/hr.",45,1505,1675,ML13298A103.txt,U,U,U
The 11 loaded HI-STROM 100 casks were all located in the northeastern corner of the ISFSI pad.,45,1675,1769,ML13298A103.txt,U,U,U
"On the other side of the casks, the northeast and southeast corners of the ISFSI pad measured 300 and 500 ÂµR/hr, respectively.",45,1769,1895,ML13298A103.txt,U,U,U
Areas alongside and in-between the casks measured from 890 ÂµR/hr to 1.3 mR/hr.,45,1895,1973,ML13298A103.txt,U,U,U
"The highest readings on the ISFSI pad were measured at the lower cask vent locations, which read as high as 1.46 mR/hr.",45,1973,2092,ML13298A103.txt,U,U,U
The ISFSI inspection confirmed the previously performed site survey records.,45,2092,2168,ML13298A103.txt,U,U,U
Environmental monitoring data from 2011 thru 2013 for the ISFSI pad was provided for review.,45,2168,2260,ML13298A103.txt,U,U,U
The data for 2011 and 2012 was from four monitoring locations that contained an optically stimulated luminescent (OSL) dosimeter which were deployed as part of CPNPP General Area Monitoring (GAM) Program for measuring site-wide ambient radiation levels.,45,2260,2513,ML13298A103.txt,U,U,U
The four OSLs were responsible for measuring the direct radiological impacts of the loaded casks to locations in close proximity to the ISFSI pad.,45,2513,2659,ML13298A103.txt,U,U,U
During 2013 the OSLs were replaced by thermoluminescent dosimeters (TLDs) that performed the same dose measurement function.,45,2659,2783,ML13298A103.txt,U,U,U
"Those monitoring locations were identified in documents provided to NRC as location numbers 101 through 104 (see Table 1, below).",45,2783,2912,ML13298A103.txt,U,U,U
-4-,47,0,3,ML13298A103.txt,U,U,U
"Table 1, Estimated Monitoring Results for Comanche Peak ISFSI in mrem/yr 1 Monitoring Period #/Location 2011 2 2012 20132 101 Dry Cask Storage - North 108 210 177 102 Dry Cask Storage - East 104 332 538 103 Dry Cask Storage - South 108 412 168 104 Dry Cask Storage - West 95 321 101 For the period beginning on October 22, 2011 and ending on June 26, 2013, the OSL/TLD gamma exposure data at the four ISFSI monitoring locations ranged from 19 to 225 mrem per monitoring period (quarterly, roughly).",49,0,499,ML13298A103.txt,U,U,U
Those values converted to dose rates of 10 to 104 Âµrem/hr.,49,499,557,ML13298A103.txt,U,U,U
The lowest aggregate dose rates occurred in 2011 prior to any spent fuel being stored on the ISFSI pad.,49,557,660,ML13298A103.txt,U,U,U
"The highest quarterly dose rates were measured between April and October 2012, when the final five casks of the first nine-cask loading campaign were loaded and placed on the pad.",49,660,839,ML13298A103.txt,U,U,U
"The monitoring location with the highest dose rates varied, moving periodically between locations 102, 103, and 104.",49,839,955,ML13298A103.txt,U,U,U
"At the time of the inspection, CPNPP was in the midst of its second ISFSI loading campaign.",49,955,1046,ML13298A103.txt,U,U,U
"Three additional casks had been loaded and two had been placed on the pad, bringing the total number on the pad to 11 with one remaining to be placed.",49,1046,1196,ML13298A103.txt,U,U,U
"Three empty HI-STORM 100s were also stored on the pad at the southeast corner, parallel to the pad's southern boundary.",49,1196,1315,ML13298A103.txt,U,U,U
Offsite monitoring data from the CPNPP Radiological Environmental Monitoring Program (REMP) Annual Reports from 2011 and 2012 did not include any of the direct ISFSI monitoring data from the GAM network.,49,1315,1518,ML13298A103.txt,U,U,U
"Instead, the REMP Reports focused on airborne (gaseous and particulate), liquid effluent, and direct radiation monitoring at site boundary and offsite locations.",49,1518,1679,ML13298A103.txt,U,U,U
"By design, there were no airborne or liquid effluent releases from the ISFSI, which is located in the site's ESE sector, approximately 0.75 mile from the nuclear plant.",49,1679,1847,ML13298A103.txt,U,U,U
"The closest REMP direct radiation monitoring locations to the ISFSI were at site boundary locations identified as R11, R15, R17, and R20.",49,1847,1984,ML13298A103.txt,U,U,U
"Those locations are in the E, ESE, SE, and SSE sectors, at distances of 0.5, 1.4, 1.3, and 1.3 miles, respectively, from the plant.",49,1984,2115,ML13298A103.txt,U,U,U
Casks 1 through 9 were all placed on the ISFSI pad in calendar year (CY) 2012 during the first loading campaign.,49,2115,2227,ML13298A103.txt,U,U,U
There were no loaded casks on the ISFSI pad during CY 2011.,49,2227,2286,ML13298A103.txt,U,U,U
"As can be seen below in Table 2, there was an increase in gross radiation readings at the REMP locations in closest proximity to the ISFSI pad in 2012.",49,2286,2437,ML13298A103.txt,U,U,U
"Table 2, Dose for REMP Locations Close to CPNPP ISFSI in mrem/yr Monitoring Location, Sector and Distance (miles) 2011 2012 R11, E Â­ 0.5 83 106 R15, ESE Â­ 1.4 85 96 R17, SE Â­ 1.3 94 103 R20, SSE Â­ 1.3 84 3 95",49,2437,2645,ML13298A103.txt,U,U,U
1,50,0,1,ML13298A103.txt,U,U,U
Yearly monitoring estimates are based on actual monitoring data that overlapped calendar years.,52,0,95,ML13298A103.txt,U,U,U
The results have been normalized to produce a yearly estimate based on 8760 hours of exposure per year.,52,95,198,ML13298A103.txt,U,U,U
2 Partial year data.,52,198,218,ML13298A103.txt,U,U,U
3 Estimated value based on three quarters of monitoring data.,52,218,279,ML13298A103.txt,U,U,U
-5-,54,0,3,ML13298A103.txt,U,U,U
"Average background (control) dose measurements for 2011 and 2012 were 85 and 103 mrem/yr, respectively.",56,0,104,ML13298A103.txt,U,U,U
"Correcting for background shows only a slight increase in ambient radioactivity at the closest boundary monitoring location, R11, of 3 mrem/yr.",56,104,247,ML13298A103.txt,U,U,U
"This value was well below the 10 CFR 72.104 (a) dose standard, which limits total radiation from plant activities to less than 25 mrem per year at the owner controlled boundary.",56,247,424,ML13298A103.txt,U,U,U
Offsite doses due to the ISFSI were well below regulatory limits.,56,424,489,ML13298A103.txt,U,U,U
"(3) Records Related to Fuel Stored in the Casks Site records, as required by 10 CFR 72.212(b)(12), which described the spent fuel in dry fuel storage at Comanche Peak Nuclear were reviewed by inspectors.",56,489,692,ML13298A103.txt,U,U,U
The review of the CPNPP ISFSI records was performed to determine if an adequate description of the spent fuel loaded in the Holtec HI-STORM 100 casks was documented as a permanent record.,56,692,879,ML13298A103.txt,U,U,U
"The spent fuel contents of each canister loaded into a HI-STORM 100 cask at CPNPP was documented in a package that included a NUC-212-4, Cask Acceptability Report, Revision 4 and a NUC-212-5, Comprehensive Assembly Specifications Supplement, Revision 1.",56,879,1132,ML13298A103.txt,U,U,U
"Those forms contained information about each fuel assembly placed into dry cask storage and included fuel identification, assembly heat (kw), cooling time (years), initial U-235 enrichment (%), and burnup values (MWd/MTU).",56,1132,1354,ML13298A103.txt,U,U,U
A complete set of forms was reviewed for all 12 loaded casks at the time of the inspection.,56,1354,1445,ML13298A103.txt,U,U,U
CPNPP was found to be in compliance with the criteria of 10 CFR 72.212(b)(12).,56,1445,1523,ML13298A103.txt,U,U,U
(4) Cask Loading Observations Various loading activities were observed by NRC inspectors during the course of the routine inspection.,56,1523,1656,ML13298A103.txt,U,U,U
Placement of Cask #11 on the ISFSI pad by use of the wheeled vertical cask transporter was observed on Monday September 16th.,56,1656,1781,ML13298A103.txt,U,U,U
The remaining days of the inspection week the licensee was in the process of loading Cask #12.,56,1781,1875,ML13298A103.txt,U,U,U
The NRC inspectors observed the fuel movement activities to place spent fuel assemblies into canister #12.,56,1875,1981,ML13298A103.txt,U,U,U
"The licensee's staff was experienced in moving the spent fuel assemblies and was proficient in locating the correct assembly, verifying the assembly, moving the assembly from the rack to the canister, and inserting the assembly into the assigned canister slot.",56,1981,2241,ML13298A103.txt,U,U,U
"The time from grappling the assembly, placing the assembly into the assigned canister slot, and returning to the next assigned spent fuel assembly was 20 - 25 minutes.",56,2241,2408,ML13298A103.txt,U,U,U
"For the canister, which holds 32 assemblies, the entire loading process took approximately 11 hours.",56,2408,2508,ML13298A103.txt,U,U,U
Selected welding and non-destructive examination activities were observed during the activities associated with Cask #12.,56,2508,2629,ML13298A103.txt,U,U,U
An automatic welding process was used to weld the canister lid.,56,2629,2692,ML13298A103.txt,U,U,U
The welders operated the equipment remotely in a low dose rate area.,56,2692,2760,ML13298A103.txt,U,U,U
Hydrogen monitoring was performed during the welding of the root weld and subsequent passes.,56,2760,2852,ML13298A103.txt,U,U,U
The licensee utilized a RKI instruments Eagle 1 Type 101 for monitoring of explosive gas during the root pass welding and then used the RKI Eagle 1 Type 201-11 for monitoring during subsequent passes for lid to shell welding.,56,2852,3077,ML13298A103.txt,U,U,U
"Both instruments had been calibrated on August 21, 2013.",56,3077,3133,ML13298A103.txt,U,U,U
"Other activities that were observed by NRC inspectors of the loading of Cask #12 included: lifting the HI-TRAC transfer cask fully loaded out of the spent fuel pool, -6-",56,3133,3302,ML13298A103.txt,U,U,U
"forced helium dehydration drying of the canister, helium backfill of the canister, welding of the vent and drain port covers, and transfer of the canister from the HI-TRAC to the HI-STORM.",58,0,189,ML13298A103.txt,U,U,U
(5) Combustible Gas Monitoring Comanche Peak utilized Holtec as the welding contractor for performing all welding operations associated with the current and previous dry cask storage loading campaigns.,58,189,390,ML13298A103.txt,U,U,U
Holtec welding group provided the hydrogen monitoring equipment for use during those welding operations.,58,390,494,ML13298A103.txt,U,U,U
Holtec welding group had changed the hydrogen monitoring equipment and setup during this second campaign from that which was utilized by Comanche Peak during their dry run inspections and first loading campaign.,58,494,705,ML13298A103.txt,U,U,U
This new equipment had not been previously inspected by Region IV NRC inspectors.,58,705,786,ML13298A103.txt,U,U,U
"During the welding operations associated with Cask #12, the NRC inspector provided a Transnuclear (TN) Bulletin to Comanche Peak that described issues that resulted in a hydrogen deflagration event that occurred at Nine Mile Point (NMP) Nuclear Plant on August 14, 2013 during cask loading operations.",58,786,1087,ML13298A103.txt,U,U,U
Comanche Peak's ISFSI personnel were aware of the event but had not received the bulletin due to the system used at NMP was of a different cask vendor.,58,1087,1238,ML13298A103.txt,U,U,U
"The arrangement at Nine Mile Point had multiple differences to that at Comanche Peak, such as, a different cask system, welding system, purging gas, hydrogen monitors, and hydrogen monitoring setup.",58,1238,1436,ML13298A103.txt,U,U,U
"Regardless, Comanche Peak took immediate actions to place the TN Bulletin into their corrective action program to evaluate the operational experience and determine if any of the issues that resulted in the hydrogen deflagration at NMP were applicable to the activities performed at Comanche Peak.",58,1436,1732,ML13298A103.txt,U,U,U
Condition Report CR-2013-009593 was initiated to document Comanche Peak's evaluation.,58,1732,1817,ML13298A103.txt,U,U,U
The TN Bulletin noted numerous issues that may have contributed to the hydrogen deflagration at Nine Mile Point.,58,1817,1929,ML13298A103.txt,U,U,U
"These issues included: the use of helium as the purging gas, the RKI Eagle 1 monitor used at NMP had not been calibrated for its intended use or properly setup, and the sample line from cask to the instrument was 10 to 12 feet long with several low spots where water was found to be in the line.",58,1929,2224,ML13298A103.txt,"D, P",U,D
Comanche Peak's personnel immediately investigated and addressed all the issues identified in the bulletin against the current hydrogen monitoring setup that was in use for Cask #12.,58,2224,2406,ML13298A103.txt,U,U,U
All aspects of the investigation were documented in evaluation EV-CR-2013009593.,58,2406,2486,ML13298A103.txt,U,U,U
"At Comanche Peak, two hydrogen monitors were used.",58,2486,2536,ML13298A103.txt,U,U,U
"A ""handheld"" monitor was used until the lid to shell root pass had been completed and the MPC was sealed.",58,2536,2641,ML13298A103.txt,U,U,U
"A welding person used the ""handheld"" monitor to sample the groove area of the lid to shell weld area in four locations every ten minutes during the root pass to ensure no combustible gas was present.",58,2641,2840,ML13298A103.txt,U,U,U
"Once the root pass had been completed a second monitor called the ""stationary"" monitor was used to sample the gas mixture that was coming from the vent port of the MPC.",58,2840,3008,ML13298A103.txt,U,U,U
Holtec loading operations require an argon purge to be initiated during any welding operations to remove any combustible gas out of the cask and away from weld area.,58,3008,3173,ML13298A103.txt,U,U,U
"Once the root pass had been welded the ""stationary"" monitor sampled gas from the MPC which was an oxygen free environment containing only argon and possibly hydrogen.",58,3173,3339,ML13298A103.txt,U,U,U
-7-,60,0,3,ML13298A103.txt,U,U,U
"At Nine Mile Point, operations used helium to purge the volume under the canister lid and an RKI Eagle 1 instrument that was of a different Type than that used at Comanche Peak.",62,0,178,ML13298A103.txt,U,U,U
"For Comanche Peak, argon is a much heavier gas than hydrogen and oxygen and thus would displace those gases due to its higher mass.",62,178,309,ML13298A103.txt,U,U,U
"At NMP, helium is close to the same weight as hydrogen and much lighter than oxygen and would be inadequate for displacing those elements by weight alone.",62,309,463,ML13298A103.txt,U,U,U
Further the RKI Eagle 1 instrument used at NMP was found to be inadequately calibrated for use in a helium only environment and the monitor contained an internal inlet moisture filter drain that was found to be in the open position but was required to be in the closed position.,62,463,741,ML13298A103.txt,U,U,U
At Comanche Peak both RKI Eagle 1 instruments (Type 101 and Type 201-11) did not contain an internal moisture filter or filter drain.,62,741,874,ML13298A103.txt,U,U,U
"Further, Comanche Peak contacted RKI Instruments and verified that the Eagle 1 Type 201-11 could in fact work in an all argon environment and sufficiently detect a combustible gas mixture without any special kind of calibration.",62,874,1102,ML13298A103.txt,U,U,U
"The Type 201-11 ""stationary"" monitor was equipped with an internal diffuser fitting and was not reliant upon the sample gas as the source for oxygen to detect a combustible gas.",62,1102,1279,ML13298A103.txt,U,U,U
"The Type 101 ""handheld"" monitor did not contain the diffuser fitting and as such required the sample gas to contain at least 7% oxygen by volume for the catalytic combustion sensor to function properly.",62,1279,1481,ML13298A103.txt,D,U,D
