label_SALLY,text,line,start_pos,end_pos,file,label_struck
U,Yes  No Sensitive Yes  No Sens.,21,87,118,ML14041A484.txt,U
U,Type Initials NFO SRI:DRP/B RI:DRP/B C:DRS/EB1 C:DRS/EB2 C:DRS/OB CPeabody RStroble TFarnholtz GMiller VGaddy E: N.OKeefe for Not Available /RA/ /RA/ /RA/ 02/03/2014 N/A 02/03/2014 02/03/2014 02/04/2014 C:DRS/PSB1 C:DRS/PSB2 C:DRS/TSB BC:DRP/B MHaire HGepford RKellar NOKeefe /RA/ /RA/ /RA/ /RA/ 02/04/2014 02/05/2014 02/09/2014 02/10/2014 OFFICIAL RECORD COPY,21,118,478,ML14041A484.txt,U
U,"U.S. NUCLEAR REGULATORY COMMISSION REGION IV Docket: License: Report: Licensee: Facility: Location: Dates: 05000482 NPF-42 05000482/2013005 Wolf Creek Nuclear Operating Corporation Wolf Creek Generating Station 1550 Oxen Lane SE Burlington, Kansas September 29 through December 31, 2013",23,0,287,ML14041A484.txt,U
U,"Inspectors: C. Peabody, Senior Resident Inspector R. Stroble, Resident Inspector G. Apger, Operations Engineer G. George, Senior Reactor Inspector J. Laughlin, Emergency Preparedness Inspector G. Skaggs Ryan, Reactor Inspector Paul Elkmann, Senior Emergency Preparedness Inspector Gilbert Guerra, CHP, Emergency Preparedness Inspector Raja Stroble, Resident Inspector Nnaerika Okonkwo, Reactor Inspector Approved By: Neil O'Keefe Chief, Project Branch B Division of Reactor Projects",25,0,482,ML14041A484.txt,U
U,-1-,27,0,3,ML14041A484.txt,U
U,Enclosure,29,0,9,ML14041A484.txt,U
U,"SUMMARY IR 05000482/2013005; 09/29/2013 Ã¥_ 12/31/2013; WOLF CREEK GENERATING STATION; Integrated Resident and Regional Report; Licensed Operator Requalification Program; Maintenance Risk Assessments and Emergent Work Control, Problem Identification and Resolution.",31,0,264,ML14041A484.txt,U
U,"The inspection activities described in this report were performed between September 29, 2013, and December 31, 2013, by the resident inspectors at Wolf Creek Generating Station and three inspectors from the NRC's Region IV office.",31,264,494,ML14041A484.txt,U
U,Four findings of very low safety significance (Green) are documented in this report.,31,494,578,ML14041A484.txt,U
U,Three of these findings involved violations of NRC requirements; one of the findings did not involve a violation of NRC requirements.,31,578,711,ML14041A484.txt,U
U,"The significance of inspection findings is indicated by their color (Green, White, Yellow, or Red), which is determined using Inspection Manual Chapter 0609, ""Significance Determination Process.""",31,711,906,ML14041A484.txt,U
U,"Their cross-cutting aspects are determined using Inspection Manual Chapter 0310, ""Components Within the Cross-Cutting Areas.""",31,906,1031,ML14041A484.txt,U
U,Violations of NRC requirements are dispositioned in accordance with the NRC's Enforcement Policy.,31,1031,1128,ML14041A484.txt,U
U,"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process.""",31,1128,1273,ML14041A484.txt,U
U,Cornerstone: Initiating Events Ã¥Ã¡ Green.,31,1273,1312,ML14041A484.txt,U
U,The inspectors identified a Green non-cited violation of 10 CFR 50.65(a)(4) for the failure to assess risk associated with an emergent maintenance activity performed on one of the offsite power circuit components inside the Wolf Creek switchyard.,31,1312,1558,ML14041A484.txt,T
U,"Specifically, Wolf Creek arranged for the transmission system maintenance companies to recharge SF6 gas in a 13.8kV breaker actively feeding the train A Class 1E distribution system, without performing risk management actions to verify the readiness of onsite power sources.",31,1558,1832,ML14041A484.txt,T
U,Loss of SF6 pressure would have caused this breaker to automatically open.,31,1832,1906,ML14041A484.txt,U
U,This issue was entered into the corrective action program as Condition Report 00077139.,31,1906,1993,ML14041A484.txt,U
U,"The inspectors determined that failure to assess risk associated with an emergent maintenance activity in accordance with station procedure AP 22C-003, ""Online Nuclear Safety and Generation Risk Assessment,"" Step 6.1.9 was a performance deficiency.",31,1993,2241,ML14041A484.txt,"P, T"
O,The performance deficiency was more than minor because it affects the switchyard activities area of the protection against external factors attribute of the Initiating Events Cornerstone.,31,2241,2428,ML14041A484.txt,U
U,"Inspection Manual Chapter 0609, Appendix K, ""Maintenance Risk Assessment and Risk Management Significance Determination Process,"" was used to assess the significance of the finding because the finding resulted from the licensee's underestimate of plant risk.",31,2428,2686,ML14041A484.txt,T
U,The regional senior reactor analyst performed a bounding analysis of the incremental core damage probability and determined that the finding was of very low safety significance (Green) because the bounding analysis indicated that the effect of the finding on plant operations was less than the Green/White threshold.,31,2686,3002,ML14041A484.txt,U
U,"The inspectors determined that the finding did not have a cross-cutting aspect because the performance deficiency was caused by an inadequate procedure change in 1998, which was not representative of current performance.",31,3002,3222,ML14041A484.txt,P
U,(Section 1R13),31,3222,3236,ML14041A484.txt,U
U,-2-,33,0,3,ML14041A484.txt,U
U,Cornerstone: Mitigating Systems Ã¥Ã¡ Green.,35,0,41,ML14041A484.txt,U
U,The inspector reviewed a self-revealing finding associated with licensed operator performance on the annual requalification operating tests.,35,41,181,ML14041A484.txt,U
U,"Specifically, 2 of 8 crews (25 percent) failed the simulator scenario portion of the operating test; and 11 of 46 licensed operators (23 percent) either failed the scenario or failed the job performance measure portions of the operating tests.",35,181,424,ML14041A484.txt,O
U,The licensee remediated and retested the staff prior to returning them to licensed duties.,35,424,514,ML14041A484.txt,O
U,Wolf Creek entered this finding into their corrective action program as Condition Report 75336.,35,514,609,ML14041A484.txt,U
H,"In accordance with Inspection Procedure 71111.11, each of the following was a performance deficiency against expected licensed operator knowledge and abilities: 1) Greater than 20 percent of the crews failing their scenarios; and 2) greater than 20 percent of the licensed operator staff failing their operating tests.",35,609,927,ML14041A484.txt,O
U,"Using the Inspection Manual Chapter 0612, Appendix B, ""Issue Screening,"" the inspector determined that the finding was more than minor because the performance deficiency was associated with the Mitigating Systems Cornerstone attribute of human performance, and affected the cornerstone objective of ensuring the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",35,927,1362,ML14041A484.txt,"H, O"
U,"The inspector determined that this finding could be evaluated using Inspection Manual Chapter 0609, Appendix I, ""Licensed Operator Requalification Significance Determination Process.""",35,1362,1545,ML14041A484.txt,U
U,"This finding was of very low safety significance (Green) because the finding was related to the requalification exam results, did not result in a failure rate of greater than 40 percent, and the licensed operators were remediated prior to returning to shift.",35,1545,1803,ML14041A484.txt,U
O,"This finding has a crosscutting aspect in the area of human performance associated with resources, because the licensee failed to ensure that personnel were adequately trained to assure nuclear safety [H.2(b)].",35,1803,2013,ML14041A484.txt,"O, H"
U,(Section 1R11.3) Ã¥Ã¡ Green.,35,2013,2038,ML14041A484.txt,U
O,"A self-revealing non-cited violation of 10 CFR 50, Appendix B, Criterion XVI, ""Corrective Actions,"" was identified for failure to preclude repetition of a significant condition adverse to quality.",35,2038,2234,ML14041A484.txt,T
O,"Specifically, the licensee failed to determine the cause of the train A Class 1E air conditioner slug flow in the refrigerant prior to experiencing multiple failures and plant shutdowns.",35,2234,2420,ML14041A484.txt,T
O,"The licensee eventually determined that the probable cause of the failures was the failure to adequately chemically clean the system following the failure of a charcoal filter, in that some charcoal and cleaning agent was not removed following the work activity.",35,2420,2682,ML14041A484.txt,"T, P"
U,"The remaining debris fouled the lubricating oil and instrumentation, causing four failures.",35,2682,2773,ML14041A484.txt,U
U,This issue was entered into the corrective action program as Condition Report 78709.,35,2773,2857,ML14041A484.txt,U
O,"Failure to preclude repetitive failures of the train A Class 1E air conditioner, a significant condition adverse to quality, is a performance deficiency.",35,2857,3010,ML14041A484.txt,T
O,"The performance deficiency is more than minor because it affected the equipment performance attribute of the Mitigating Systems Cornerstone objective to ensure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",35,3010,3297,ML14041A484.txt,U
U,Specifically,35,3297,3309,ML14041A484.txt,U
U,-3-,37,0,3,ML14041A484.txt,U
U,the leftover debris in the system resulted in a subsequent maintenance outage to replace rapidly degrading components.,39,0,119,ML14041A484.txt,U
U,"Using the Inspection Manual Chapter 0609, Appendix A, Exhibit 2, ""Mitigating Systems Screening Questions,"" the inspectors determined the finding was of very low safety significance (Green) because the finding did not represent an actual loss of function of at least a single train for greater than its technical specification allowed outage time and the finding did not represent an actual loss of function of one or more nontechnical specification trains of equipment designated as high safety significant in accordance with the licensee's maintenance rule program for greater than 24 hours.",39,119,711,ML14041A484.txt,U
O,The inspectors determined that the cause of the finding had a cross-cutting aspect in the area of human performance.,39,711,827,ML14041A484.txt,U
O,"The licensee did not ensure complete, accurate and up-to-date design documentation, procedures, and work packages, and correct labeling of components.",39,827,977,ML14041A484.txt,"P, T"
P,"Specifically applicable housekeeping requirements detailed in station procedure AP-12-002 ""Internal/External System Cleanliness"" were not met during the chemical cleaning of system piping on May 8, 2013, [H.2(c)].",39,977,1190,ML14041A484.txt,P
U,(Section 4OA2.3.b.),39,1190,1209,ML14041A484.txt,U
U,-4-,41,0,3,ML14041A484.txt,U
U,PLANT STATUS The beginning of the inspection period coincided with the unit being restarted from an unplanned outage to repair a Class 1E air conditioning unit.,43,0,161,ML14041A484.txt,U
U,"The same air conditioner failed again on October 18, 2013, and the plant shutdown and cooled down to Mode 5.",43,161,269,ML14041A484.txt,U
U,"The unit restarted on October 28, 2013, and operated at full power for the remainder of the inspection period.",43,269,379,ML14041A484.txt,U
U,REPORT DETAILS 1.,43,379,396,ML14041A484.txt,U
U,"REACTOR SAFETY Cornerstones: Initiating Events, Mitigating Systems, and Barrier Integrity 1R01 Adverse Weather Protection (71111.01) .1 a.",43,396,534,ML14041A484.txt,U
U,"Readiness for Seasonal Extreme Weather - Offsite and Alternate AC Power Systems Inspection Scope On October 7, 2013, the inspectors completed an inspection of the station's off-site and alternate-ac power systems.",43,534,747,ML14041A484.txt,U
U,"The inspectors inspected the material condition of these systems, including transformers and other switchyard equipment to verify that plant features and procedures were appropriate for operation and continued availability of offsite and alternate-ac power systems.",43,747,1012,ML14041A484.txt,U
U,Specifically the inspectors reviewed final installation and closeout of a plant modification to add Station Blackout Diesel Generators.,43,1012,1147,ML14041A484.txt,U
U,The inspectors reviewed applicable station procedure revisions to verify that adequate guidance was provided to operators.,43,1147,1269,ML14041A484.txt,U
U,The inspectors walked down the station blackout diesel generators and associated vital switchgear to verify the installed configuration met design specifications.,43,1269,1431,ML14041A484.txt,U
U,"These activities constituted one sample of readiness for seasonal extreme weather of off-site and alternate-ac power systems, as defined in Inspection Procedure 71111.01 b.",43,1431,1603,ML14041A484.txt,U
U,Findings No findings were identified.,43,1603,1640,ML14041A484.txt,U
U,1R04 Equipment Alignment (71111.04) .1 a.,43,1640,1681,ML14041A484.txt,U
U,Partial Walkdown Inspection Scope The inspectors performed partial system walk-downs of the following risk-significant systems:,43,1681,1808,ML14041A484.txt,U
U,-5-,45,0,3,ML14041A484.txt,U
U,Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡,47,0,6,ML14041A484.txt,U
U,"October 15, 2013, high pressure coolant injection train A during centrifugal charging pump B planned maintenance outage October 16, 2013, residual heat removal train A during residual heat removal pump B planned maintenance outage November 20, 2013, B emergency diesel generator during A emergency diesel generator and essential service water planned maintenance outage",49,0,369,ML14041A484.txt,U
U,The inspectors reviewed the licensee's procedures and system design information to determine the correct lineup for the systems.,51,0,128,ML14041A484.txt,U
U,They visually verified that critical portions of the systems were correctly aligned for the existing plant configuration.,51,128,249,ML14041A484.txt,U
U,These activities constituted three partial system walk-down samples as defined in Inspection Procedure 71111.04. b.,51,249,364,ML14041A484.txt,U
U,Findings No findings were identified.,51,364,401,ML14041A484.txt,U
U,1R05 Fire Protection (71111.05) .1 a.,51,401,438,ML14041A484.txt,U
U,Quarterly Inspection Inspection Scope The inspectors evaluated the licensee's fire protection program for operational status and material condition.,51,438,586,ML14041A484.txt,U
U,"The inspectors focused their inspection on four plant areas important to safety: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ October 10, 2013, main control room, 2047' control building, fire area C-27 October 10, 2013, cable chase room, 2047' control building, fire area C-30 November 4, 2013, 4kV switchgear B room, 2000' control building, fire area C-10 November 6, 2013, power transformers and switchyard",51,586,957,ML14041A484.txt,U
U,"For each area, the inspectors evaluated the fire plan against defined hazards and defense-in-depth features in the licensee's fire protection program.",53,0,150,ML14041A484.txt,U
U,"The inspectors evaluated control of transient combustibles and ignition sources, fire detection and suppression systems, manual firefighting equipment and capability, passive fire protection features, and compensatory measures for degraded conditions.",53,150,401,ML14041A484.txt,U
U,"These activities constituted four quarterly inspection samples, as defined in Inspection Procedure 71111.05. b.",53,401,512,ML14041A484.txt,U
U,Findings No findings were identified.,53,512,549,ML14041A484.txt,U
U,-6-,55,0,3,ML14041A484.txt,U
U,.2 a.,57,0,6,ML14041A484.txt,U
U,"Annual Inspection Inspection Scope On October 11, 2013, the inspectors completed their annual evaluation of the licensee's fire brigade performance.",59,0,148,ML14041A484.txt,U
U,This evaluation included observation of fire drill conducted routinely as part of the licensee's fire protection program in accordance with 10 CFR 50 Appendix R Section (III)(I)(3)(b).,59,148,332,ML14041A484.txt,U
U,"The inspectors evaluated the capability of the fire brigade members, the leadership ability of the brigade leader, the brigade's use of turnout gear and fire-fighting equipment, and the effectiveness of the fire brigade's team operation.",59,332,569,ML14041A484.txt,U
U,"The inspectors also reviewed whether the licensee's fire brigade met NRC requirements for training, dedicated size and membership, and equipment.",59,569,714,ML14041A484.txt,U
U,"These activities constituted one annual inspection sample, as defined in Inspection Procedure 71111.05. b.",59,714,820,ML14041A484.txt,U
U,Findings No findings were identified.,59,820,857,ML14041A484.txt,U
U,1R07 Heat Sink Performance (71111.07) a.,61,0,40,ML14041A484.txt,U
U,Inspection Scope Ã¥_ (triennial inspection) The inspectors reviewed licensee programs to verify heat exchanger performance and operability for the following heat exchangers: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Diesel generator cooling water system B Safety injection pump room cooler A Auxiliary feedwater pump room cooler A,61,40,332,ML14041A484.txt,U
U,"The inspectors verified whether testing, inspection, maintenance, and chemistry control programs are adequate to ensure proper heat transfer.",63,0,141,ML14041A484.txt,U
U,"The inspectors verified that the periodic testing and monitoring methods, as outlined in commitments to the NRC Generic Letter 89-13, utilized proper industry heat exchanger guidance.",63,141,324,ML14041A484.txt,U
U,"Additionally, the inspectors verified that the licensee's chemistry program ensured that biological fouling was properly controlled between tests.",63,324,470,ML14041A484.txt,U
U,The inspectors reviewed previous maintenance records of the heat exchangers to verify that the licensee's heat exchanger inspections adequately addressed structural integrity and cleanliness of their tubes.,63,470,676,ML14041A484.txt,U
U,Specific documents reviewed during this inspection are listed in the attachment.,63,676,756,ML14041A484.txt,U
U,These activities constitute completion of three of the triennial heat sink inspection samples as defined in Inspection Procedure 71111.07-05.,63,756,897,ML14041A484.txt,U
U,-7-,65,0,3,ML14041A484.txt,U
U,b.,67,0,3,ML14041A484.txt,U
U,Findings No findings were identified.,69,0,37,ML14041A484.txt,U
U,1R11 Licensed Operator Requalification Program and Licensed Operator Performance (71111.11) .1 a.,71,0,97,ML14041A484.txt,U
U,"Review of Licensed Operator Requalification Inspection Scope On December 2, 2013, the inspectors observed a portion of annual requalification training for licensed operators.",71,97,271,ML14041A484.txt,U
U,The inspectors assessed the performance of the operators and the evaluators' critique of their performance.,71,271,378,ML14041A484.txt,U
U,"These activities constitute completion of one quarterly licensed operator requalification program sample, as defined in Inspection Procedure 71111.11. b.",71,378,531,ML14041A484.txt,U
U,Findings No findings were identified.,71,531,568,ML14041A484.txt,U
U,.2 a.,71,568,573,ML14041A484.txt,U
U,"Review of Licensed Operator Performance Inspection Scope On October 27, 2013, the inspectors observed the performance of on-shift licensed operators in the plant's main control room.",71,573,755,ML14041A484.txt,U
U,"At the time of the observations, the plant was in a period of heightened activity due to reactor startup from a unplanned outage.",71,755,884,ML14041A484.txt,U
U,The inspectors observed the operators' performance of the following activities: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Standard operating procedure transition brief Shift turnover brief Reactor startup brief Control rod withdrawal Criticality and startup rate monitoring,71,884,1125,ML14041A484.txt,U
U,"In addition, the inspectors assessed the operators' adherence to plant procedures, including AP 21-001 Conduct of Operations, GEN 00-003 Hot Standby to Minimum Load, and other operations department policies.",73,0,207,ML14041A484.txt,U
U,"These activities constitute completion of one quarterly licensed operator performance sample, as defined in Inspection Procedure 71111.11. b.",73,207,348,ML14041A484.txt,U
U,Findings No findings were identified.,73,348,385,ML14041A484.txt,U
U,-8-,75,0,3,ML14041A484.txt,U
U,.3 a.,77,0,6,ML14041A484.txt,U
U,Annual Inspection Inspection Scope The inspector reviewed the results of the operating tests to satisfy the annual inspection requirements.,79,0,139,ML14041A484.txt,U
U,"On December 2, 2013, the licensee informed the lead inspector of the following results: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Six of eight crews passed the simulator portion of the operating test Thirty-six of forty-six licensed operators passed the simulator portion of the operating test Forty-five of forty-six licensed operators passed the job performance measure portion of the examination",79,139,501,ML14041A484.txt,U
U,"The individuals and crews that failed portions of the operating test were remediated, retested, and passed their retake operating tests.",81,0,136,ML14041A484.txt,"O, H"
U,The inspector completed one inspection sample of the annual licensed operator requalification program.,81,136,238,ML14041A484.txt,U
U,b.,81,238,240,ML14041A484.txt,U
U,Findings Introduction.,81,240,262,ML14041A484.txt,U
U,The inspector reviewed a self-revealing finding associated with licensed operator performance on the annual requalification operating tests.,81,262,402,ML14041A484.txt,U
U,"Specifically, 2 of 8 crews (25 percent) failed the simulator scenario portion of the operating test; and 11 of 46 licensed operators (23 percent) either failed the scenario or failed the job performance measure portions of the operating tests.",81,402,645,ML14041A484.txt,"O, H"
U,Description.,81,645,657,ML14041A484.txt,U
U,"During the facility-administered annual operating tests of licensed operators, the licensee training staff evaluated crew and individual operator performance during dynamic simulator scenarios and individual operator performance during job performance measures.",81,657,918,ML14041A484.txt,U
T,There were two crew failures and 11 individual failures.,81,918,974,ML14041A484.txt,"O, H"
U,The licensee remediated and retested the staff prior to returning them to licensed duties.,81,974,1064,ML14041A484.txt,O
U,Analysis.,81,1064,1073,ML14041A484.txt,U
O,"In accordance with Inspection Procedure 71111.11, each of the following was a performance deficiency against expected licensed operator knowledge and abilities: 1) Greater than 20 percent of the crews failing their scenarios and 2) greater than 20 percent of the licensed operator staff failing their operating tests.",81,1073,1390,ML14041A484.txt,O
O,"Using the Inspection Manual Chapter 0612, Appendix B, ""Issue Screening,"" the inspector determined that the finding was more than minor because the performance deficiency was associated with the Mitigating Systems Cornerstone attribute of human performance, and affected the cornerstone objective of ensuring the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",81,1390,1825,ML14041A484.txt,"O, H"
U,The inspector determined that this finding could be,81,1825,1876,ML14041A484.txt,U
U,-9-,83,0,3,ML14041A484.txt,U
U,"evaluated using Inspection Manual Chapter 0609, Appendix I, ""Licensed Operator Requalification Significance Determination Process.""",85,0,132,ML14041A484.txt,U
U,"This finding was of very low safety significance (Green) because the finding was related to the requalification exam results, did not result in a failure rate of greater than 40 percent, and the licensed operators were remediated prior to returning to shift.",85,132,390,ML14041A484.txt,O
O,"This finding has a cross-cutting aspect in the area of human performance associated with resources, because the licensee failed to ensure that personnel were adequately trained to assure nuclear safety [H.2(b)].",85,390,601,ML14041A484.txt,O
U,Enforcement.,85,601,613,ML14041A484.txt,U
U,This finding does not involve enforcement action because no violation of regulatory requirements was identified.,85,613,725,ML14041A484.txt,U
U,The licensee entered this finding into their corrective action program as Condition Report 75336.,85,725,822,ML14041A484.txt,U
U,"Because this finding does not involve a violation and has very low safety significance (Green), it is identified as a finding: FIN 05000482/2013005-01, ""Failure Rates Exceed Twenty Percent for Annual Requalification Operating Tests.""",85,822,1055,ML14041A484.txt,U
U,1R12 Maintenance Effectiveness (71111.12) a.,85,1055,1099,ML14041A484.txt,U
U,"Inspection Scope The inspectors reviewed four instances of degraded performance or condition of safetyrelated structures, systems, and components (SSCs): Ã¥Ã¡ June 27, 2013, fire protection functions KC-02 and KC-06, potential sprinkler blockage: dead zebra mussel shells found in fire protection piping, Condition Report 70967 September 30, 2013, fire protection functions FP-01 and FP-03, fouling of fire pump suction strainers due to zebra mussels, Condition Report 74578 October 11, 2013, circulating water function DA-02, effects of circulating water internal flooding on non-safety auxiliary feedwater pump, Condition Report 75107 October 15, 2013, plant annunciator function RK-02, Opto-Isolator cards apparent damage by maintenance practices, Condition Report 74701",85,1099,1869,ML14041A484.txt,U
U,Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡,87,0,5,ML14041A484.txt,U
U,The inspectors reviewed the extent of condition of possible common cause SSC failures and evaluated the adequacy of the licensee's corrective actions.,89,0,150,ML14041A484.txt,U
U,The inspectors reviewed the licensee's work practices to evaluate whether these may have played a role in the degradation of the SSCs.,89,150,284,ML14041A484.txt,U
U,"The inspectors assessed the licensee's characterization of the degradation in accordance with 10 CFR 50.65 (the Maintenance Rule), and verified that the licensee was appropriately tracking degraded performance and conditions in accordance with the Maintenance Rule.",89,284,549,ML14041A484.txt,U
U,"These activities constituted completion of four maintenance effectiveness samples, as defined in Inspection Procedure 71111.12.",89,549,676,ML14041A484.txt,U
U,- 10 -,91,0,6,ML14041A484.txt,U
U,b.,93,0,3,ML14041A484.txt,U
U,Findings No findings were identified.,95,0,37,ML14041A484.txt,U
U,1R13 Maintenance Risk Assessments and Emergent Work Control (71111.13) a.,97,0,73,ML14041A484.txt,U
U,"Inspection Scope The inspectors reviewed three risk assessments performed by the licensee prior to changes in plant configuration and the risk management actions taken by the licensee in response to elevated risk: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Weekly risk assessment for planned maintenance 2013-407, November 11-17, 2013 Weekly risk assessment for planned maintenance 2013-409, November 25December 1, 2013 Weekly risk assessment for planned maintenance 2013-410, December 2-8, 2013",97,73,531,ML14041A484.txt,U
U,The inspectors verified that these risk assessments were performed timely and in accordance with the requirements of 10 CFR 50.65 (the Maintenance Rule) and plant procedures.,99,0,174,ML14041A484.txt,U
U,The inspectors reviewed the accuracy and completeness of the licensee's risk assessments and verified that the licensee implemented appropriate risk management actions based on the result of the assessments.,99,174,381,ML14041A484.txt,U
U,"These activities constitute completion of three maintenance risk assessments and emergent work control inspection samples, as defined in Inspection Procedure 71111.13. b.",99,381,551,ML14041A484.txt,U
U,Findings Introduction.,99,551,573,ML14041A484.txt,U
O,The inspectors identified a Green non-cited violation of 10 CFR 50.65(a)(4) for the failure to assess risk associated with an emergent maintenance activity performed on one of the offsite power circuit components inside the Wolf Creek switchyard.,99,573,819,ML14041A484.txt,T
U,Description.,99,819,831,ML14041A484.txt,U
U,"Control room operators received a plant annunciator indicating low SF6 gas pressure in a 13.8kV breaker 13-48 in the Wolf Creek switchyard on the morning of November 14, 2013 This breaker was supplying train A offsite power.",99,831,1055,ML14041A484.txt,U
U,"Westar (the company that owns the switchyard) personnel recharged the SF6 tank, clearing the 345kV trouble alarm.",99,1055,1168,ML14041A484.txt,U
U,"The performance of this maintenance required the opening of the breaker housing to access the tank, as well as the rest of the actuator internals.",99,1168,1314,ML14041A484.txt,U
U,"The inspectors noted that throughout the identification and repair process, Wolf Creek did not perform any risk assessment to determine the compatibility of current work.",99,1314,1484,ML14041A484.txt,T
U,"Loss of SF6 pressure would have caused this breaker to automatically open, causing a loss of power to train A AC buses.",99,1484,1603,ML14041A484.txt,U
U,"The inspectors questioned why no risk assessment was performed, and were told",99,1603,1680,ML14041A484.txt,U
U,- 11 -,101,0,6,ML14041A484.txt,U
U,"that operators knew that this was classified as a routine task in station procedure AP 22C-003, ""Online Nuclear Safety and Generation Risk Assessment.""",103,0,152,ML14041A484.txt,U
U,"Operators assumed that this meant that the task had been pre-determined to be low risk, so no risk assessment was required.",103,152,275,ML14041A484.txt,"P, T"
U,The inspectors determined that there was no pre-determined risk assessment associated with gassing switchyard breakers.,103,275,394,ML14041A484.txt,U
U,"While walking down the task with qualified individuals, the inspectors determined that it was possible to have problems during the task that could lead to loss of SF6 pressure and automatic tripping of the breakers.",103,394,609,ML14041A484.txt,U
U,"Further, while most switchyard breakers had redundant breakers, some breakers, including breaker 13-48, would cause loss of power to certain loads if tripped open, so the risk for some breakers was more significant.",103,609,824,ML14041A484.txt,U
U,"Based on the above, the inspectors concluded that recharging the SF6 gas in breaker 13-48 required that a risk assessment be performed for this work, and that risk management actions were required according to the licensee's program.",103,824,1057,ML14041A484.txt,U
U,The risk management actions should have included verification of the emergency diesel generator A system alignment and the emergency diesel engine room posted as protected equipment for the duration of the switchyard maintenance.,103,1057,1286,ML14041A484.txt,"P, T"
U,"On December 4, 2013, the inspectors observed a second degraded condition in the switchyard was also not considered.",103,1286,1401,ML14041A484.txt,U
