text,line,start_pos,end_pos,file,label_Frenard
"In accordance with Title 10 of the Code of Federal Regulations (CFR) Part 2.390 of the NRC's ""Rules of Practice,"" a copy of this letter, its enclosure, and your response (if any) will be available electronically for public inspection in the NRC Public Document Room or from the Publicly Available Records (PARS) component of the NRC's document system (ADAMS).",19,0,359,ML092050743.txt,U
ADAMS is accessible from the NRC Web Site at http://www.nrc.gov/reading-rm/adams.html (the Public Electronic Reading Room).,19,359,482,ML092050743.txt,U
"Sincerely, /RA/ Ronald R. Bellamy, Ph.D., Chief Projects Branch 6 Division of Reactor Projects",19,482,576,ML092050743.txt,U
"Distribution w/encl: S. Collins, RA M. Dapas, DRA D. Lew, DRP J. Clifford, DRP R. Bellamy, DRP S. Barber, DRP C. Newport, DRP J. Greives, DRP S. Shaffer, DRP, SRI",21,0,162,ML092050743.txt,U
"J. Krafty, DRP, RI B. Haagensen, DRP, RI C. Kowalyshyn, DRP, RI, OA L. Trocine, RI, OEDO H. Chernoff, NRR R. Nelson, NRR C. Sanders, NRR",23,0,136,ML092050743.txt,U
ROPreports@nrc.gov,24,0,18,ML092050743.txt,U
Region I Docket Room (with concurrences),26,0,40,ML092050743.txt,U
SUNSI Review Complete:,28,0,22,ML092050743.txt,U
RRB,30,0,3,ML092050743.txt,U
(Reviewer's Initials),32,0,21,ML092050743.txt,U
"DOCUMENT NAME: G:\DRP\BRANCH6\MILLSTONE IR0903.DOC After declaring this document ""An Official Agency Record"" it will be released to the Public.",34,0,143,ML092050743.txt,U
"To receive a copy of this document, indicate in the box: ""C"" = Copy without attachment/enclosure ""E"" = Copy with attachment/enclosure ""N"" = No copy",35,0,147,ML092050743.txt,U
OFFICE NAME DATE,37,0,16,ML092050743.txt,U
RI/DRP,39,0,6,ML092050743.txt,U
RI/DRP,41,0,6,ML092050743.txt,U
SShaffer/,43,0,9,ML092050743.txt,U
7/22/09,44,0,8,ML092050743.txt,U
RBellamy/,46,0,9,ML092050743.txt,U
7/24/09,47,0,8,ML092050743.txt,U
OFFICIAL RECORD COPY,48,0,20,ML092050743.txt,U
1,50,0,2,ML092050743.txt,U
U.S. NUCLEAR REGULATORY COMMISSION REGION I,52,0,43,ML092050743.txt,U
Docket No.,54,0,10,ML092050743.txt,U
: License No.,54,10,23,ML092050743.txt,U
: Report No.,54,23,35,ML092050743.txt,U
: Licensee: Facility: Location: Dates: Inspectors:,54,35,85,ML092050743.txt,U
"50-336, 50-423 DPR-65, NPF-49 05000336/2009003 and 05000423/2009003 Dominion Nuclear Connecticut, Inc. Millstone Power Station, Units 2 and 3 P. O.",56,0,147,ML092050743.txt,U
"Box 128 Waterford, CT 06385 April 1, 2009 through June 30, 2009 S. Shaffer, Senior Resident Inspector, Division of Reactor Projects (DRP) J. Krafty, Resident Inspector, DRP B. Haagensen, Resident Inspector, DRP O. Masnyk-Bailey, Health Physicist; Division of Nuclear Materials Safety (DNMS) J. Nicholson, Heath Physicist, DNMS J. Schmidt, Health Physicist, DNMS J. Tomlinson, Operations Engineer, Division of Reactor Safety (DRS) T. Moslak, Health Physicist; DRS J. Daniel Orr, Senior Reactor Inspector, DRS W. Schmidt, Senior Reactor Analyst, DRS M. Patel, Reactor Inspector, DRS Ronald R. Bellamy, Ph.D., Chief Projects Branch 6 Division of Reactor Projects",56,147,806,ML092050743.txt,U
Approved by:,58,0,12,ML092050743.txt,U
Enclosure,60,0,9,ML092050743.txt,U
2 TABLE OF CONTENTS,62,0,20,ML092050743.txt,U
SUMMARY OF FINDINGS ......................................................................................................... 3 REPORT DETAILS..................................................................................................................... 4 1.,64,0,264,ML092050743.txt,U
REACTOR SAFETY .............................................................................................................. 4 1R01 Adverse Weather Protection ........................................................................................ 4 1R04 Equipment Alignment ................................................................................................... 5 1R05 Fire Protection............................................................................................................... 6 1R07 Heat Sink Performance ................................................................................................ 7 1R11 Licensed Operator Requalification Program ................................................................ 7 1R12 Maintenance Effectiveness .......................................................................................... 8 1R13 Maintenance Risk Assessments and Emergent Work Control ..................................... 8 1R15 Operability Evaluations ................................................................................................ 9 1R18 Plant Modifications ..................................................................................................... 10 1R19 Post-Maintenance Testing ......................................................................................... 10 1R22 Surveillance Testing ................................................................................................... 11 1EP6 Drill Evaluation ........................................................................................................... 12 2OS1 Access to Radiological Significant Areas ................................................................... 12 2PS1 Radioactive Gaseous and Liquid Effluent Treatment and Monitoring Systems .......... 13 4.,64,264,2094,ML092050743.txt,U
"OTHER ACTIVITIES .......................................................................................................... 16 4OA1 Performance Indicator (PI) Verification ...................................................................... 16 4OA2 Identification and Resolution of Problems ................................................................. 16 4OA3 Follow-up of Events and Notices of Enforcement Discretion ..................................... 19 4OA5 Other Activities ........................................................................................................... 20 4OA6 Meetings, including Exit .......................................................................................................... 21 ATTACHMENT: SUPPLEMENTAL INFORMATION ................................................................. 22 SUPPLEMENTAL INFORMATION ......................................................................................... A-1 KEY POINTS OF CONTACT .................................................................................................. A-1 LIST OF ITEMS OPENED, CLOSED, AND DISCUSSED ...................................................... A-1 LIST OF DOCUMENTS REVIEWED ...................................................................................... A-2 LIST OF ACRONYMS .......................................................................................................... A-11",64,2094,3532,ML092050743.txt,U
Enclosure,66,0,9,ML092050743.txt,U
3,68,0,2,ML092050743.txt,U
SUMMARY OF FINDINGS,70,0,19,ML092050743.txt,U
"IR 05000336/2009-003, 05000423/2009-003; April 1, 2009 Â­ June 30, 2009; Millstone Power Station Unit 2 and Unit 3; Access Control to Radiological Significant Areas.",72,0,164,ML092050743.txt,U
The report covered a three-month period of inspection by resident and region-based inspectors.,72,164,258,ML092050743.txt,U
"One Green finding, which was a non-cited violation (NCV), was identified.",72,258,331,ML092050743.txt,U
"The significance of most findings is indicated by their color (Green, White, Yellow, Red) using Inspection Manual Chapter (IMC) 0609, ""Significance Determination Process.",72,331,501,ML092050743.txt,U
"""(SDP) The cross-cutting aspect was determined using IMC 0305, Operating Reactor Assessment Program.",72,501,601,ML092050743.txt,U
Findings for which the SDP does not apply may be Green or be assigned a severity level after NRC management review.,72,601,716,ML092050743.txt,U
"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 4, dated December 2006.",72,716,894,ML092050743.txt,U
Cornerstone: Occupational Radiation Safety Â· Green.,72,894,945,ML092050743.txt,U
"An NRC-identified finding of very low safety significance (Green) was identified for Dominion's failure to effectively survey, label, and control contaminated tools and equipment.",72,945,1124,ML092050743.txt,"P, T"
"Specifically, Dominion failed to perform adequate surveys to identify a hose fitting having a contact dose rate measurement of 160 mrem per hour as required by 10 CFR 20.1501.",72,1124,1299,ML092050743.txt,"O, P"
Dominion entered this issue into their corrective action program as CR322737.,72,1299,1376,ML092050743.txt,U
This finding was more than minor because it was associated with the program and process attribute of the Radiation Safety cornerstone and affected the cornerstone objective of ensuring adequate protection of worker health and safety from exposure to radiation.,72,1376,1636,ML092050743.txt,U
"By not surveying and labeling the hose fitting, workers could have received unplanned exposure when not informed of the radiological hazard present.",72,1636,1784,ML092050743.txt,U
"The finding has a cross cutting aspect in the area of work practices, because the licensee did not assure that personnel follow procedures [H.4(b)].",72,1784,1932,ML092050743.txt,P
"Specifically, procedure RPM 2.4.2, ""Radiological Control of Material and Vehicles,"" was not properly implemented to assure compliance with 10 CFR 20 requirements.",72,1932,2094,ML092050743.txt,"O, P"
(Section 2OS1).,72,2094,2109,ML092050743.txt,U
"Other Findings Two violations of very low safety significance, which were identified by the licensee, have been reviewed by the inspectors.",72,2109,2248,ML092050743.txt,U
Corrective actions taken or planned by the licensee have been entered into the licensee's corrective action program.,72,2248,2364,ML092050743.txt,U
These violations and corrective actions are listed in Section 4OA7 of this report .,72,2364,2447,ML092050743.txt,U
Enclosure,74,0,9,ML092050743.txt,U
4,76,0,2,ML092050743.txt,U
REPORT DETAILS Summary of Plant Status Units 2 & 3 operated at or near 100 percent power throughout the inspection period.,78,0,122,ML092050743.txt,U
1,78,122,124,ML092050743.txt,U
"REACTOR SAFETY Cornerstones: Initiating Events, Mitigating Systems, and Barrier Integrity 1R01 Adverse Weather Protection (71111.01) .1 a.",78,124,262,ML092050743.txt,U
Seasonal Site Inspection Inspection Scope (1 Sample) The inspectors reviewed Unit 2 and Unit 3's readiness for seasonal hot weather.,78,262,394,ML092050743.txt,U
"The inspectors reviewed selected equipment, instrumentation, and supporting structures to determine if they were configured in accordance with Dominion=s procedures, and that adequate controls were in place to ensure functionality of the systems.",78,394,640,ML092050743.txt,U
The inspectors reviewed the Unit 2 and 3 Updated Final Safety Analysis Report (UFSAR) and Technical Specifications (TS) and compared the analysis with procedure requirements to ascertain that procedures were consistent with the UFSAR.,78,640,874,ML092050743.txt,U
"The inspectors performed partial walkdowns of the Unit 2 Condensate Storage and Surge Tanks, Refueling and Primary Water Storage Tanks, and Reactor Building Closed Cooling Water System and the Unit 3 Demineralized Water Storage Tank (DWST) and Auxiliary Building Ventilation System to determine if the actions required by the procedures were complete.",78,874,1225,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,78,1225,1295,ML092050743.txt,U
b.,78,1295,1297,ML092050743.txt,U
Findings No findings of significance were identified.,78,1297,1350,ML092050743.txt,U
.2 a.,78,1350,1355,ML092050743.txt,U
"Readiness of Offsite and Alternating Current (AC) Power Systems Inspection Scope (1 Sample) The inspectors reviewed Dominion's, Independent System Operator (ISO) New England's and Connecticut Valley Electric Exchange's (CONVEX) procedures for notifications of abnormal grid conditions to determine if they were adequate to ensure the reliability of AC power systems.",78,1355,1721,ML092050743.txt,U
"The inspectors reviewed Dominion's procedures to determine if they addressed inadequate post-trip voltages of the offsite power supply, unknown post trip voltages, reassessment of risk when maintenance activities could affect grid reliability, and required communication between Dominion and ISO New England/CONVEX when changes at the site could impact the transmission system.",78,1721,2098,ML092050743.txt,U
The inspectors interviewed selected operations personnel to determine if they were familiar with the procedures for abnormal grid conditions.,78,2098,2239,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,78,2239,2309,ML092050743.txt,U
Enclosure,78,2309,2318,ML092050743.txt,U
5 1R04 Equipment Alignment (71111.04) .1 a.,80,0,44,ML092050743.txt,U
Partial System Walkdowns Inspection Scope (4 Samples) The inspectors performed four partial system walkdowns during this inspection period.,80,44,183,ML092050743.txt,U
The inspectors reviewed the documents listed in the Attachment to determine the correct system alignment.,80,183,288,ML092050743.txt,U
"The inspectors conducted a walkdown of each system to determine if the critical portions of the selected systems were correctly aligned, in accordance with the procedures, and to identify any discrepancies that may have had an effect on operability.",80,288,537,ML092050743.txt,U
"The walkdowns included selected switch and valve position checks, and verification of electrical power to critical components.",80,537,663,ML092050743.txt,U
"Finally, the inspectors evaluated other elements, such as material condition, housekeeping, and component labeling.",80,663,778,ML092050743.txt,U
"The following systems were reviewed based on their risk significance for the given plant configuration: Unit 2 Â· Â· ""A"" Emergency Diesel Generator (EDG) while the ""B"" EDG was inoperable due to a failure on April 29 and 30, 2009; ""B"" Motor Driven Auxiliary Feedwater Pump (MDAFWP) and Turbine Driven Auxiliary Feedwater Pump (TDAFWP) while the ""A"" MDAFWP was out of service (OOS) for scheduled maintenance on June 9, 2009;",80,778,1198,ML092050743.txt,
Unit 3 Â· Â· b.,82,0,13,ML092050743.txt,U
"""A"" Charging train while the ""B"" train was taken OOS for surveillance testing on April 1, 2009; and TDAFWP while the ""B"" MDAFWP was taken OOS for scheduled maintenance on April 27, 2009.",82,13,199,ML092050743.txt,U
Findings No findings of significance were identified.,84,0,53,ML092050743.txt,U
.2 a.,86,0,5,ML092050743.txt,U
Complete System Walkdown (71111.04S) Inspection Scope (1 Sample) The inspectors completed a detailed review of the alignment and condition of the Unit 3 safety-related 125 VDC and 120 vital AC system.,88,0,200,ML092050743.txt,U
"The inspectors conducted a walkdown of the system to determine whether critical portions, such as breakers and switches, were aligned in accordance with procedures and to identify any discrepancies that may have had an adverse effect on operability.",88,200,449,ML092050743.txt,U
"The inspectors also reviewed the system health reports, Condition Reports (CR), and maintenance rule evaluations to determine whether equipment problems were being identified and appropriately resolved.",88,449,651,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,88,651,721,ML092050743.txt,U
Enclosure,90,0,9,ML092050743.txt,U
6 b.,92,0,5,ML092050743.txt,U
Findings No findings of significance were identified.,92,5,58,ML092050743.txt,U
1R05 Fire Protection .1 a.,92,58,84,ML092050743.txt,U
Quarterly Fire Protection Walkdowns (71111.05Q) Inspection Scope (6 Samples) The inspectors performed walkdowns of six fire protection areas.,92,84,225,ML092050743.txt,U
"The inspectors reviewed Dominion's fire protection program to determine the required fire protection design features, fire area boundaries, and combustible loading requirements for the selected areas.",92,225,425,ML092050743.txt,U
The inspectors walked down these areas to assess Dominion's control of transient combustible material and ignition sources.,92,425,548,ML092050743.txt,U
"In addition, the inspectors evaluated the material condition and operational status of fire detection and suppression capabilities, fire barriers, and any related compensatory measures.",92,548,733,ML092050743.txt,U
The inspectors compared the existing conditions of the areas to the fire protection program requirements to determine if all program requirements were being met.,92,733,894,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,92,894,964,ML092050743.txt,U
The fire protection areas reviewed included: Unit 2 Â· Â· Â· Turbine Building El.,92,964,1042,ML092050743.txt,U
"54'6"", Fire Areas T-1, T-1F, and TS-1; 6.9 and 4.16 KV Switchgear El.",92,1042,1111,ML092050743.txt,U
"56'6"", Fire Area T10; Main Transformer Yard, Fire Areas XR-1, XR-2, and XR-3;",92,1111,1188,ML092050743.txt,U
Unit 3 Â· Â· Â· b.,94,0,15,ML092050743.txt,U
"East Switchgear Area, El.",94,15,40,ML092050743.txt,U
"4'-6"", Fire Area CB-2; Cable Spreading Area, El.",94,40,88,ML092050743.txt,U
"24'-6"", Fire Area CB-8; and South Containment Recirculation Cooler Cubicle, El.",94,88,167,ML092050743.txt,U
"-34'-9"" to 36'-6"", Fire Area ESF-1.",94,167,202,ML092050743.txt,U
Findings No findings of significance were identified.,96,0,53,ML092050743.txt,U
.2 a.,98,0,5,ML092050743.txt,U
"Annual Fire Drill Observation (71111.05A) Inspection Scope (1 Sample) The inspectors observed personnel performance during an unannounced fire brigade drill on May 14, 2009, to evaluate the readiness of station personnel to fight fires.",100,0,236,ML092050743.txt,U
The drill simulated a fire in the Unit 2 main turbine pedestal area.,100,236,304,ML092050743.txt,U
"The inspectors observed the fire brigade members using protective clothing, turnout gear, self-contained breathing apparatus and entering the fire area.",100,304,456,ML092050743.txt,U
The inspectors also observed the fire fighting equipment brought to the fire scene to evaluate whether sufficient equipment was available to effectively control and extinguish the simulated fire.,100,456,651,ML092050743.txt,U
The inspectors evaluated whether the permanent plant fire hose lines were capable of reaching the fire Enclosure,100,651,763,ML092050743.txt,U
7 area and whether hose usage was adequately simulated.,102,0,56,ML092050743.txt,U
The inspectors observed the fire fighting directions and communications between fire brigade members.,102,56,157,ML092050743.txt,U
The inspectors also evaluated whether the pre-planned drill scenario was followed and observed the post drill critique to evaluate if the drill objectives were satisfied and that any drill weaknesses were discussed.,102,157,372,ML092050743.txt,U
b.,102,372,374,ML092050743.txt,U
Findings No findings of significance were identified.,102,374,427,ML092050743.txt,U
1R07 Heat Sink Performance (71111.7A) a.,102,427,467,ML092050743.txt,U
"Inspection Scope (1 Sample) The inspectors observed the as-found condition of the opened Unit 2 ""A"" reactor building closed cooling water (RBCCW) heat exchanger X18A to verify that any adverse fouling concerns were appropriately addressed.",102,467,706,ML092050743.txt,U
The inspectors reviewed the results of the inspection against the acceptance criteria contained within the procedure to determine whether all acceptance criteria had been satisfied.,102,706,887,ML092050743.txt,U
The inspectors also reviewed the UFSAR to ensure that heat exchanger inspection results were consistent with the design basis.,102,887,1013,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,102,1013,1083,ML092050743.txt,U
b.,102,1083,1085,ML092050743.txt,U
Findings No findings of significance were identified.,102,1085,1138,ML092050743.txt,U
"1R11 Licensed Operator Requalification Program (71111.11Q) .1 a. Resident Inspector Quarterly Review Inspection Scope (2 Samples) The inspectors observed simulator-based licensed operator requalification training for Unit 2 on April 28, 2009, and for Unit 3 on April 21, 2009.",102,1138,1414,ML092050743.txt,U
"The inspectors evaluated crew performance in the areas of clarity and formality of communications, ability to take timely actions, prioritization, interpretation and verification of alarms, procedure use, control board manipulations, oversight and direction from supervisors, and command and control.",102,1414,1714,ML092050743.txt,U
"Crew performance in these areas was compared to Dominion management expectations and guidelines as presented in OP-MP-100-1000, AMillstone Operations Guidance and Reference Document.",102,1714,1896,ML092050743.txt,U
#NAME?,102,1896,1988,ML092050743.txt,U
"The inspectors also observed Dominion evaluators discuss identified weaknesses with the crew and/or individual crew members, as appropriate.",102,1988,2128,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,102,2128,2198,ML092050743.txt,U
b.,102,2198,2200,ML092050743.txt,U
Findings No findings of significance were identified.,102,2200,2253,ML092050743.txt,U
Enclosure,104,0,9,ML092050743.txt,U
8 1R12 Maintenance Effectiveness (71111.12Q) a.,106,0,48,ML092050743.txt,U
"Inspection Scope (3 Samples) The inspectors reviewed three samples of Dominion's evaluation of degraded conditions, involving safety-related structures, systems and/or components for maintenance effectiveness during this inspection period.",106,48,287,ML092050743.txt,U
"The inspectors reviewed Dominion's implementation of the ""Maintenance Rule,"" 10 CFR 50.65.",106,287,377,ML092050743.txt,U
"The inspectors reviewed Dominion=s ability to identify and address common cause failures, the applicable maintenance rule scoping document for each system, the current classification of these systems in accordance with 10 CFR 50.65 (a)(1) or (a)(2), and the adequacy of the performance criteria and goals established for each system, as appropriate.",106,377,726,ML092050743.txt,U
"The inspectors also reviewed recent system health reports, CRs, apparent cause determinations, functional failure determinations, operating logs, and discussed system performance with the responsible system engineer.",106,726,942,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,106,942,1012,ML092050743.txt,U
The specific systems/components reviewed were: Unit 2 Â· Â· Emergency Safeguards Actuation System; Service Water (SW) System; and,106,1012,1139,ML092050743.txt,U
Unit 3 Â· b.,108,0,11,ML092050743.txt,U
Engineered Safety Features (ESF) Building Ventilation.,108,11,65,ML092050743.txt,U
Findings No findings of significance were identified.,110,0,53,ML092050743.txt,U
1R13 Maintenance Risk Assessments and Emergent Work Control (71111.13) a.,112,0,73,ML092050743.txt,U
Inspection Scope (6 Samples) The inspectors evaluated online risk management for emergent and planned activities.,112,73,186,ML092050743.txt,U
"The inspectors reviewed maintenance risk evaluations, work schedules, and control room logs to determine if concurrent planned and emergent maintenance or surveillance activities adversely affected the plant risk already incurred with OOS components.",112,186,436,ML092050743.txt,U
"The inspectors evaluated whether Dominion took the necessary steps to control work activities, minimize the probability of initiating events, and maintain the functional capability of mitigating systems.",112,436,639,ML092050743.txt,U
The inspectors assessed Dominion=s risk management actions during plant walkdowns.,112,639,721,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,112,721,791,ML092050743.txt,U
"The inspectors reviewed the conduct and adequacy of risk assessments for the following maintenance and testing activities: Unit 2 Â· April 14, 2009, Emergent repairs on 2CH-110P (letdown flow control valve) follower arm; Enclosure",112,791,1020,ML092050743.txt,U
"9 Â· Â· Â· April 17, 2009, Orange Risk due to a loss of the B61 Motor Control Center Switchgear Cooling Unit; April 30, 2009, Yellow Risk due to emergent repairs on the ""B"" EDG; May 29, 2009, Yellow Risk due to high pressure safety injection (HPSI) and the Station Blackout (SBO) diesel being unavailable;",114,0,303,ML092050743.txt,U
"Unit 3 Â· Â· b. April 30 and May 1, 2009, Emergent repairs on the SBO diesel; and May 28 and 29, 2009, Troubleshooting the SBO diesel.",116,0,132,ML092050743.txt,U
Findings No findings of significance were identified.,118,0,53,ML092050743.txt,U
1R15 Operability Evaluations (71111.15) a.,120,0,42,ML092050743.txt,U
Inspection Scope (7 Samples) The inspectors reviewed seven operability determinations (OD).,120,42,133,ML092050743.txt,U
"The inspectors evaluated the ODs against the guidance contained in NRC Regulatory Issue Summary 2005-20, Revision to Guidance Formerly Contained in NRC Generic Letter 91-18, AInformation to Licensees Regarding Two NRC Inspection Manual Sections on Resolution of Degraded and Nonconforming Conditions and on Operability.",120,133,452,ML092050743.txt,U
#NAME?,120,452,560,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,120,560,630,ML092050743.txt,U
"The inspectors reviewed the adequacy of the following evaluations of degraded or non-conforming conditions: Unit 2 Â· Â· Â· Â· OD 000281, ""Westinghouse Identified Error in MP2 Containment Pressure Analysis""; CR332990, ""U2 EDG room floor drain backflow preventers exhibit consistent failure""; CR334153, ""Bus 201B Ground Alarm was Received Indicating a Hard Ground on the Battery Bus""; CR335537, ""Potential Water Intrusion Identified at Vertical Crack in CTMT Outer Concrete El.",120,630,1102,ML092050743.txt,"T, D"
"-25 ft"";",120,1102,1110,ML092050743.txt,"T, D"
"Unit 3 Â· Â· RAS000092, ""HVR and EGS Fouling Action Curve Issues,"" Rev.",122,0,69,ML092050743.txt,O
"0; Condition Report Engineering Disposition (CRED) for CR 333933, ""Degraded Tube Conditions in ""B"" Component Cooling Pump (CCP) Heat Exchanger,"" Rev.",122,69,218,ML092050743.txt,O
"0; and OD000292, ""Charging Pump Non Conformance,"" Rev.",122,218,272,ML092050743.txt,O
0,122,272,274,ML092050743.txt,U
b.,124,0,2,ML092050743.txt,U
Â· Â· Findings,126,0,12,ML092050743.txt,U
No findings of significance were identified.,128,0,44,ML092050743.txt,U
Enclosure,130,0,9,ML092050743.txt,U
10 1R18 Plant Modifications (71111.18) a.,132,0,42,ML092050743.txt,U
"Inspection Scope (1 Sample) To assess the adequacy of the modifications, the inspectors performed walkdowns of selected plant systems and components, interviewed plant staff, and reviewed applicable documents, including procedures, calculations, modification packages, engineering evaluations, drawings, corrective action program documents, the UFSAR, and TS.",132,42,401,ML092050743.txt,U
"Unit 2 temporary modification, ""Isolation of 2-CH-199, RCP Bleed-off Flow Relief Valve,"" was reviewed by the inspectors to determine whether selected attributes (component safety classification, energy requirements supplied by supporting systems, seismic qualification, instrument setpoints, and equipment environmental qualification) were consistent with the design and licensing bases.",132,401,788,ML092050743.txt,U
Design assumptions were reviewed to verify that they were technically appropriate and consistent with the UFSAR.,132,788,900,ML092050743.txt,U
The 10 CFR 50.59 screenings or safety evaluations were reviewed.,132,900,964,ML092050743.txt,U
"The inspectors also verified that procedures, calculations, and the UFSAR were properly updated with revised design information.",132,964,1092,ML092050743.txt,U
"In addition, the inspectors verified that the as-built configuration was accurately reflected in the design documentation and that post-modification testing was adequate to ensure the structures, systems, and components would function properly.",132,1092,1336,ML092050743.txt,U
Documents reviewed during the inspection are listed in the Attachment.,132,1336,1406,ML092050743.txt,U
b.,132,1406,1408,ML092050743.txt,U
Findings No findings of significance were identified.,132,1408,1461,ML092050743.txt,U
1R19 Post-Maintenance Testing (71111.19) a.,132,1461,1504,ML092050743.txt,U
"Inspection Scope (8 Samples) The inspectors reviewed post-maintenance test (PMT) activities to determine whether the PMT adequately demonstrated that the safety-related function of the equipment was satisfied, given the scope of the work specified, and that operability of the system was restored.",132,1504,1801,ML092050743.txt,U
"In addition, the inspectors evaluated the applicable test acceptance criteria to evaluate consistency with the associated design and licensing bases, as well as TS requirements.",132,1801,1978,ML092050743.txt,U
The inspectors also evaluated whether conditions adverse to quality were entered into the corrective action program for resolution.,132,1978,2109,ML092050743.txt,U
