text,Y,Predicted_Values
"Step 5.5.3, inspect oil filter lubricating oil tubing and replace the tubing when necessary, was marked as not required.",T,O
Component fouling procedures were not adequately implemented to ensure that the effects of biofouling on heat transfer surfaces were detected and mitigated during periods of high river detritus.,T,O
"Specifically, corrective actions to prevent CAC tubing failures were ineffective because the visual inspections required by the procedure revision incorporated after previous CAC oil tubing failures, may not have identified degraded copper tubing in time to prevent tubing failure.",P,O
The inspectors identified the following two examples of equipment trends that were not captured by the licensee's trending program.,P,O
"If the licensee had known the actual status of the Division I RHR subsystem alignment during this time, they would not have allowed the Division II RHR subsystem to be made inoperable.",O,O
"Contrary to this requirement, over the past 3 years, the licensee identified six instances (on August 14, 2012; November 16, 2012; November 18, 2012; November 21, 2012; December 5, 2012; and January 16, 2013) of a failure to report the major loss of emergency assessment capability when the Seismic Monitoring Panel was non-functional for unplanned events.",P,P
They were prohibited by TS 3.0.4 from entering Mode 2 since a risk assessment had not been performed and associated actions of applicable LCOs did not permit continued operation in the mode for an unlimited period of time.,O,O
The operability section did not address the operability of the AFW pumps due to internal flooding from the clogged drain.,P,O
"Overall, the licensee's unfinished RCE for the isolation of Division I RHR minimum flow piping concluded that the direct cause of the event was that the first nonlicensed operator performing the clearance restoration on October 7, 2016, failed to open the shut valves (RHR-58 and RHR-60) prior to applying the sealing devices to the valves, and then the independent verifier failed to identify that the valves were sealed shut, vice sealed open.",H,T
Specifically the licensee's repair plan did not address what was eventually determined to be the root cause and did not preclude repetition of the failure.,T,O
"Specifically, the licensee did not apply a consistent, systematic approach for determining the appropriateness of compensatory measures while making operability decisions for the degraded and non-conforming conditions associated with the RHR recirculation sump valves.",O,T
"The licensee's failure to properly restore the Division I RHR system during clearance restoration resulted in exceeding the applicable technical specification action completion time, in violation of Technical Specification 3.5.1, which was a performance deficiency.",P,O
Failure to Reassess the Effects of Aging Introduction.,T,O
"Specifically, procedural place keeping techniques were less than adequate.",P,O
"Specifically, procedural place keeping techniques were less than adequate.",P,O
"In this instance a pressure switch had failed due to the same process fluid fouling a different portion of the system, so even though the symptoms were different in this case, the root cause of the failure was the same.",D,D
