text,line,start_pos,end_pos,file,Y,Predicted_Values
"Contrary to vendor recommendations that each sight glass be installed and torqued in place only one time, maintenance technicians had re-installed the sight glass on the demineralizer following vessel maintenance.",57,1302,1515,ML072260460.txt,T,O
"A self-revealing NCV for failure to comply with 10 CFR, Appendix B, Criterion V, ""Instruction, Procedures, and Drawings,"" was identified when operators discovered a significant leak in the copper oil filter tubing on the 22 CAC on May 1, 2007, that made the 22 CAC inoperable.",59,1179,1455,ML072260460.txt,O,O
The finding has a cross-cutting aspect in the area of problem identification and resolution because PSEG did not take appropriate corrective actions to address safety issues and adverse trends in a timely manner commensurate with their safety significance (P.1.d).,59,2140,2404,ML072260460.txt,T,O
"Specifically, operators did not implement additional log readings for SW HXs as specified by plant procedures during extended periods of high river detritus from March through May of 2007.",61,389,577,ML072260460.txt,T,T
"PSEG did not submit needed relief requests for ASME code required inspections for Salem Unit 2 within 12 months after the end of the second ten year inservice inspection (ISI) interval and when PSEG notified the Commission of its determination on March 21, 2006, 28 months after the end of ISI interval 2, it did not submit the information necessary to support the determinations.",61,749,1129,ML072260460.txt,T,O
"The inspectors determined that not inspecting or replacing tubing based on previous similar failures was a performance deficiency that caused ten hours of 22 CAC unavailability on May 12, 2007.",99,1627,1820,ML072260460.txt,O,T
The finding has a cross-cutting aspect in the area of problem identification and resolution because PSEG did not take appropriate corrective actions to address safety issues and adverse trends in a timely manner commensurate with their safety significance (P.1.d).,99,2660,2924,ML072260460.txt,T,O
"Specifically, an operator did not identify an incorrect switch position because the operator did not verify the expected system response when placing the 21 CAC switch to run.",105,3235,3410,ML072260460.txt,H,H
"PSEG believes that the expectations for proper use of procedures is known, but compliance is not adequate because expectations are not reinforced through consistent accountability of individuals.",147,654,849,ML072260460.txt,O,O
"In accordance with Inspection Procedure 71111.11, each of the following was a performance deficiency against expected licensed operator knowledge and abilities: 1) Greater than 20 percent of the crews failing their scenarios and 2) greater than 20 percent of the licensed operator staff failing their operating tests.",81,1073,1390,ML14041A484.txt,O,T
"Using the Inspection Manual Chapter 0612, Appendix B, ""Issue Screening,"" the inspector determined that the finding was more than minor because the performance deficiency was associated with the Mitigating Systems Cornerstone attribute of human performance, and affected the cornerstone objective of ensuring the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",81,1390,1825,ML14041A484.txt,O,O
"Specifically applicable housekeeping requirements detailed in station procedure AP-12-002 ""Internal/External System Cleanliness"" were not met during the chemical cleaning of system piping on May 8, 2013, [H.2(c)].",191,2377,2590,ML14041A484.txt,P,P
"The team identified that from January through June 2011, there was a negative trend regarding ACE rejection rate that was not identified by the licensee.",45,861,1014,ML11244A041.txt,O,O
