text,line,start_pos,end_pos,file,Y,Predicted_Values
"[H.13] Enforcement: Title 10 CFR Part 50, Appendix B, Criterion V, ""Instructions, Procedures, and Drawings,"" requires, in part, that activities affecting quality shall be prescribed by documented instructions and procedures of a type appropriate to the circumstances and shall be accomplished in accordance with these instructions and procedures.",119,2139,2485,ML15313A275.txt,P,P
"Therefore, the declaration that the affected TS SSCs were ""operable,"" and not (at a minimum) degraded or non-conforming with a determination of compensatory measures via the IOD or POD prior to restoration, was not in accordance with FP-OP-OL-01 requirements.",125,1858,2117,ML15313A275.txt,P,O
The licensee determined the 11 condensate pump failure was due to voids within the motor insulation resulting from inadequate vacuum pressure impregnation (VPI) that caused a subsequent motor winding ground fault and resultant pump trip.,195,1731,1968,ML15313A275.txt,D,D
"However, the inspection did identify weaknesses in the identification of trends and performance deficiencies pertaining to the initiation and quality of operability determinations and reportability evaluations.",9,1313,1523,ML11244A041.txt,O,O
The operability section did not address the operability of the AFW pumps due to internal flooding from the clogged drain.,61,588,709,ML11244A041.txt,P,O
"Also, the source of the water was not addressed.",61,709,757,ML11244A041.txt,P,T
"In June 2010, the NRC identified that the control room door, a HELB barrier, was blocked open by maintenance, a violation of HELB requirements.",67,568,711,ML11244A041.txt,T,O
"The licensee's RCE concluded that the root cause was inadequate evaluation of NRC RIS 2001-009, ""Control of Hazard Barriers.""",69,2359,2484,ML11244A041.txt,O,O
"In five observations from March 7 through April 27, 2011, NOS insights included a production-over-safety theme, including schedule pressure.",73,3175,3315,ML11244A041.txt,O,O
"Initiator Feedback Improvement 2SC-951 Containment Isolation Valve Stroke Time Testing TS Scheduled Too Close to 125% Compliance Unit 2 Manual Reactor Trip During Reactor Startup NRC Questions Regarding HELB Oil Leak on 1P-11A CCW Pump Outboard Bearing LER Required For Past HELP Issues TI-177, Gas Intrusion Inspection Follow-Up Discussion SW-2890 ­ North Hdr Vlv Mid Position When Valve Locally Shut SW Temperature Limit Not Specified For 2HX-15C1-C8 (D1-D8) LHSI Sentinel Point Monitoring Results Unexpected Control Room Alarms ­ 1.1% Downpower Required Water Seals On Top Of C35 Missing / Degraded CDBI FSA Calc 2001-0049, STPT 21.2 VS EPU Implementation Chemistry Not Notified Of 1RE-215 Being Taken OOS 1XY-114 Troubleshooting, Repair, And RTS identified Issues Design Flaw In Capacitor Bank Setpoint Replacement RMS Isolation Transformer And Parts Needed 4Q10 Potential NCV On Failure To Submit LER On HELB Issues Unit 1 And 2 XY-113 And XY-114 Capacitor Issues CR Related To Unit 2 Closed Inappropriately Increasing Sample Flow On Sping 24 Breaker B52-DB25-021 Failed To Open During Testing SW-2890 Stopped 25% Open INPO IER L3 11-9: Oyster Creek Scram During Startup Water Seals On Top Of C35 Missing/Degraded AMSAC Function Was Disabled Failure To Obtain SRO Approval Prior To Start Of Work 2FT-925 Found Isolated And Equalized ICP 13.001-3 (Sping 23) Found OOT Poor Status Control Of SW-2890 Service Water Ring Header 2N-31 Indicating With Detector De-Energized (2R31) Preconditioning Of The Unit 2 CFCS On 9/21/10 DAM 6 Battery Failed.",129,0,1547,ML11244A041.txt,O,O
"Findings Introduction: An NRC-identified finding of very low safety significance (Green) was identified for Dominion's failure to effectively survey, label, and control contaminated tools and equipment.",162,520,722,ML092050743.txt,O,P
"Description: On August 29, 2008, during a programmatic effort to identify contaminated tools and components, the licensee found a contaminated hose fitting inside a tool locker, located on the -45' elevation of the Unit 2 Auxiliary Building, having a contact reading of 160 mrem per hour.",162,840,1128,ML092050743.txt,O,O
"Specifically, the inspectors determined the licensee failed to assess the potential for workers to receive an unplanned exposure from the contaminated hose fitting.",162,1714,1878,ML092050743.txt,O,O
"18 monitors have been in maintenance rule (a)(1) status for several years and work control has had issues in planning, scheduling, spare parts, and coordination with operations and maintenance.",188,0,194,ML092050743.txt,O,O
This potential condition existed within the original plant design.,190,710,776,ML092050743.txt,D,D
"During such scenarios, operators evacuating the control room would have insufficient time to terminate the safety injection at the auxiliary shutdown panel, to maintain pressurizer water level within the indicating range.",190,1663,1884,ML092050743.txt,O,O
"0 Condition Report CC0313, VDS instrumentation ""as found"" out of calibration",247,1773,1849,ML092050743.txt,T,P
"5 1NC520, 1NC537, and 1NC538 could cause the valve to spuriously re-open, as identified in Attachment 11.7 of calculation MCC-1435.00-00-0059.",47,0,143,ML16021A133.txt,P,T
"Description: On May 14, 2008, during review of previous plant events related to the reactor recirculation system, the inspectors determined that a degraded condition of the linear velocity transducer (LVT) connector for FCV 'A' was found by licensee personnel during a refueling outage in May 2007.",185,1953,2251,ML082060602.txt,O,T
"During the forced outage, the licensee identified that an LVT wire was not soldered to its connector pin.",185,2641,2746,ML082060602.txt,O,O
Flow was lost in the 'B' reactor 20 Enclosure,209,262,307,ML082060602.txt,T,D
The cause of the reactor recirculation 'B' pump failure to transfer to slow speed was a failure of the interlock circuit Agastat time-delay relay.,211,414,560,ML082060602.txt,O,D
The license identified that the motor was operated past its recommended replacement date.,211,2027,2116,ML082060602.txt,P,O
"(Closed) LER 05000440/2008-002-00: Inoperable Emergency Closed Cooling System Results in Condition Prohibited by TSs On February 10, 2008, the licensee identified, during restoration review of a clearance tag, that a heat exchanger bypass valve was closed during a maintenance window when it was required to be open.",219,0,316,ML082060602.txt,O,O
"As hydrogen concentration increased, ammonia generation increased in the reactor and this caused a higher level of carryover of N-16, which caused higher radiation levels in the steam pipes.",231,1240,1430,ML082060602.txt,T,O
"In reviewing SVI-E12-T1182A, ""RHR 'A' LPCI Valve Lineup Verification and System Venting,"" Revision 8, licensee personnel determined that the valve positions for three valves were not checked during the surveillance.",241,246,461,ML082060602.txt,T,P
"Although the officer was not on an RWP which allowed access into the area, the officer decided to finish the fire watch and proceeded across the boundary.",241,2785,2939,ML082060602.txt,H,O
"The team identified a non-cited violation of 10 CFR Part 50, Appendix B, Criterion V, ""Instructions, Procedures, and Drawings,"" for failure to follow procedures related to review of indications that could affect the structural integrity of the Unit 2 reactor building.",40,1107,1375,ML14087A338.txt,P,P
The licensee could not replace the bolts because of interference created by the shock pads prevented access.,82,1683,1791,ML14087A338.txt,D,O
"The team recommended that the system engineer revise the program document to include: (1) details of the system lines included for inspection, (2) basis for the selecting the examination points, (3) plans for future inspections, including sample size, and (4) identification of the wall thickness acceptance criteria.",84,2751,3068,ML14087A338.txt,P,P
Report MULT-EP-06-0004 documented that the reactor building inspection found two cracks exceeding 0.01 inches in maximum width on the bearing plates of tendons 12H26 and 3D128.,100,659,835,ML14087A338.txt,O,O
"The team identified a Green non-cited violation of 10 CFR Part 50, Appendix B, Criterion V, which states, in part, that ""activities affecting quality shall be accomplished in accordance with procedures.""",102,597,800,ML14087A338.txt,P,P
"The licensee issued LR-LAR-2010-00176, Corrective - 33 -",142,3269,3325,ML14087A338.txt,P,O
The team determined that the licensee had not evaluated whether the groundwater had become aggressive to below grade and buried portions of concrete structures since approval of the license renewal application.,144,290,500,ML14087A338.txt,O,O
"Although the licensee would revise Technical specification 3.4.3 or shut down prior to exceeding 31 effective full power years, the team concluded the licensee had not met the conditions for meeting this time-limited aging analysis prior to the period of extended operation.",170,1276,1550,ML14087A338.txt,P,O
"Similarly, the team concluded that the licensee had not met Commitment 17850 prior to the period of extended operation.",170,1550,1669,ML14087A338.txt,P,P
"Specifically, Wolf Creek arranged for the transmission system maintenance companies to recharge SF6 gas in a 13.8kV breaker actively feeding the train A Class 1E distribution system, without performing risk management actions to verify the readiness of onsite power sources.",31,1558,1832,ML14041A484.txt,T,O
"Inspection Manual Chapter 0609, Appendix K, ""Maintenance Risk Assessment and Risk Management Significance Determination Process,"" was used to assess the significance of the finding because the finding resulted from the licensee's underestimate of plant risk.",31,2428,2686,ML14041A484.txt,T,O
"The licensee eventually determined that the probable cause of the failures was the failure to adequately chemically clean the system following the failure of a charcoal filter, in that some charcoal and cleaning agent was not removed following the work activity.",35,2420,2682,ML14041A484.txt,T,P
"The licensee did not ensure complete, accurate and up-to-date design documentation, procedures, and work packages, and correct labeling of components.",39,827,977,ML14041A484.txt,O,T
The inspectors identified a Green non-cited violation of 10 CFR 50.65(a)(4) for the failure to assess risk associated with an emergent maintenance activity performed on one of the offsite power circuit components inside the Wolf Creek switchyard.,99,573,819,ML14041A484.txt,T,T
The risk management actions should have included verification of the emergency diesel generator A system alignment and the emergency diesel engine room posted as protected equipment for the duration of the switchyard maintenance.,103,1057,1286,ML14041A484.txt,P,O
"A cracked insulator on the west 345kV bus, part of the train B offsite power circuit, was also not properly being assessed for plant risk.",103,1401,1539,ML14041A484.txt,T,O
"The licensee determined this deficiency existed in EDCP Version 4.7, which was in use on November 13, 2012, and continued to exist in EDCP Version 4.8, implemented October 28, 2013.",145,2563,2744,ML14041A484.txt,D,O
"The report concluded that the vibrations and slugging was most likely induced by leftover flushing chemicals and debris that have been subsequently loosened into the process fluid,",187,3166,3346,ML14041A484.txt,D,D
"The root cause analysis also determined that the work performed under Work Order 13-370447-007, was not in accordance with station procedural requirements.",191,214,369,ML14041A484.txt,P,P
"Failure to preclude repetitive failures of the train A Class 1E air conditioner, a significant condition adverse to quality, is a performance deficiency.",191,947,1100,ML14041A484.txt,T,T
"Specifically, procedural place keeping techniques were less than adequate.",99,2423,2497,ML12027A131.txt,P,P
"Contrary to the above, on October, 27, 2011, the NRC identified that the licensee failed to ensure that, during post-fire safe shutdown, Unit 1 and Unit 2 reactor coolant process variables would be maintained within those predicted for a loss of normal ac power.",178,433,695,ML12027A131.txt,O,O
"(3) of the Limerick Generating Station operating license, in that Exelon did not provide adequate procedural guidance for transporting the fire brigade and equipment to the spray pond pump house.",42,1128,1323,ML13182A476.txt,P,O
"Specifically, the existing fire procedure had incorrect guidance which would have needlessly delayed the fire brigade response.",56,621,748,ML13182A476.txt,P,O
"The team determined that the spray pond pump house would be a challenging location for a fire based on the need for a security escort, the distance to the spray pond pump house, and the elevation to the spray pond pump house.",56,2515,2740,ML13182A476.txt,D,O
Findings Introduction: The team identified a finding of very low safety significance (Green) for the failure to establish a preventive maintenance strategy for fire safe shutdown transfer/isolation switches.,78,525,732,ML13182A476.txt,O,O
The inspectors also verified that this switch was not operated or tested as part of routine breaker maintenance.,80,25,137,ML13182A476.txt,T,O
"By not testing these switches, there are failure mechanisms that are not monitored, such as a deck of contacts failing to rotate properly.",80,1103,1241,ML13182A476.txt,T,O
Analysis: The failure to establish a preventive maintenance strategy for safe shutdown transfer/isolation switches was a performance deficiency that was reasonably within Exelon's ability to foresee and prevent.,80,1772,1983,ML13182A476.txt,O,O
The corrective actions that resulted from the review of the TN Bulletin as documented in the condition report CR-2013-009593 included the following: Â· A revision to Comanche Peak Procedure DCS-100 to require the DCS Project Manager to verify that there had been no change to either the welding equipment or hydrogen gas monitors or their setups prior to each new loading campaign.,66,118,498,ML13298A103.txt,P,O
