,text,line,start_pos,end_pos,file,Y,Predicted_Values
3590,"['from', 'november', 'to', 'november', 'operators', 'conducted', 'sealed', 'valve', 'which', 'failed', 'to', 'identify', 'that', 'these', 'valves', 'were', 'in', 'the', 'incorrect']",225,894,1049,ML17179A282.txt,H,P
3602,"['how', 'operators', 'completed', 'the', 'system', 'alignment', 'and', 'how', 'they', 'missed', 'identifying', 'the', 'improperly', 'positioned', 'valves', 'during', 'subsequent', 'sealed', 'valve']",231,0,149,ML17179A282.txt,T,O
3964,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'identification', 'of', 'trends', 'and', 'performance', 'deficiencies', 'pertaining', 'to', 'the', 'initiation', 'and', 'quality', 'of', 'operability', 'determinations', 'and', 'reportability']",9,1313,1523,ML11244A041.txt,O,O
3990,"['the', 'inspection', 'did', 'identify', 'weaknesses', 'in', 'the', 'plant', 'programs', 'for', 'trending', 'and', 'repetitious']",29,1292,1403,ML11244A041.txt,O,O
4041,"['the', 'inspection', 'also', 'revealed', 'weakness', 'in', 'identifying', 'trends', 'in', 'human', 'performance', 'and', 'equipment']",45,218,322,ML11244A041.txt,H,P
4064,"['vulnerabilities', 'were', 'identified', 'in', 'the', 'prioritization', 'of', 'the', 'evaluation', 'of', 'and', 'the', 'implementation', 'of', 'interim']",53,243,428,ML11244A041.txt,O,O
4096,"['the', 'source', 'of', 'the', 'water', 'was', 'not']",61,709,757,ML11244A041.txt,P,O
4100,"['the', 'conduct', 'of', 'reportability', 'evaluations', 'was', 'also', 'found', 'to', 'be']",65,306,373,ML11244A041.txt,O,O
4121,"['in', 'june', 'the', 'nrc', 'identified', 'that', 'the', 'control', 'room', 'helb', 'was', 'blocked', 'open', 'by', 'violation', 'of', 'helb']",67,568,711,ML11244A041.txt,T,O
4137,"['the', 'area', 'that', 'most', 'personnel', 'interviewed', 'would', 'like', 'to', 'see', 'more', 'improvement', 'was', 'to', 'have', 'more', 'input', 'for', 'their', 'issues', 'that', 'were', 'dispositioned', 'as', 'closed', 'to', 'actions', 'taken', 'to', 'ensure', 'the', 'issue', 'was', 'properly', 'understood', 'and']",67,2479,2713,ML11244A041.txt,O,O
4139,"['subsequent', 'investigation', 'found', 'that', 'some', 'high', 'activity', 'smears', 'were', 'thrown', 'in', 'the', 'nearby', 'causing', 'the', 'high']",67,2856,2979,ML11244A041.txt,T,O
4358,"['the', 'chosen', 'sample', 'allowed', 'by', 'was', 'located', 'on', 'dead', 'leg', 'and', 'did', 'not', 'adequately', 'compensate', 'for', 'the', 'inoperable', 'radiation']",31,1172,1316,wat_2000010.txt,O,O
4923,"['during', 'the', 'forced', 'the', 'licensee', 'identified', 'that', 'an', 'lvt', 'wire', 'was', 'not', 'soldered', 'to', 'its', 'connector']",185,2641,2746,ML082060602.txt,O,O
4936,"['contrary', 'to', 'this', 'licensee', 'during', 'may', 'the', 'licensee', 'failed', 'to', 'initiate', 'cr', 'for', 'the', 'identification', 'of', 'degraded', 'condition', 'affecting', 'the']",191,1488,1642,ML082060602.txt,O,O
4938,"['the', 'inspectors', 'determined', 'that', 'the', 'failure', 'to', 'adhere', 'to', 'cap', 'procedures', 'associated', 'with', 'the', 'degraded', 'condition', 'of', 'the', 'lvt', 'was', 'performance', 'deficiency', 'warranting', 'significance', 'evaluation', 'in', 'accordance', 'with', 'imc', 'reactor', 'inspection', 'appendix', 'disposition', 'issued', 'on', 'september']",191,1771,2105,ML082060602.txt,P,P
4940,"['it', 'affected', 'the', 'availability', 'and', 'reliability', 'of', 'equipment', 'related', 'to', 'reactivity']",191,2385,2487,ML082060602.txt,O,P
4996,"['ler', 'inoperable', 'emergency', 'closed', 'cooling', 'system', 'results', 'in', 'condition', 'prohibited', 'by', 'tss', 'on', 'february', 'the', 'licensee', 'during', 'restoration', 'review', 'of', 'clearance', 'that', 'heat', 'exchanger', 'bypass', 'valve', 'was', 'closed', 'during', 'maintenance', 'window', 'when', 'it', 'was', 'required', 'to', 'be']",219,0,316,ML082060602.txt,O,O
5001,"['the', 'inadequate', 'soi', 'was', 'caused', 'by', 'the', 'improper', 'classification', 'of', 'procedure', 'changes', 'associated', 'with', 'design']",219,903,1022,ML082060602.txt,O,P
5078,"['not', 'knowing', 'that', 'ts', 'lco', 'was', 'not', 'licensee', 'personnel', 'did', 'not', 'make', 'the', 'required', 'mode']",237,2048,2150,ML082060602.txt,T,P
5087,"['specifically', 'the', 'rhr', 'head', 'spray', 'isolation', 'valve', 'an', 'unlocked', 'was', 'not', 'verified', 'for']",241,461,589,ML082060602.txt,O,P
5092,"['contrary', 'to', 'the', 'on', 'or', 'about', 'may', 'several', 'security', 'officers', 'entered', 'the', 'hra', 'in', 'the', 'turbine', 'building', 'lube', 'oil']",241,1129,1257,ML082060602.txt,O,O
5197,"['by', 'failing', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown', 'exelon', 'did', 'not', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",44,162,415,ML13182A476.txt,O,O
5255,"['of', 'the', 'limerick', 'generating', 'station', 'operating', 'in', 'that', 'exelon', 'did', 'not', 'provide', 'adequate', 'procedural', 'guidance', 'for', 'transporting', 'the', 'fire', 'brigade', 'and', 'equipment', 'to', 'the', 'spray', 'pond', 'pump']",56,426,621,ML13182A476.txt,O,P
5342,"['findings', 'the', 'team', 'identified', 'finding', 'of', 'very', 'low', 'safety', 'significance', 'for', 'the', 'failure', 'to', 'establish', 'preventive', 'maintenance', 'strategy', 'for', 'fire', 'safe', 'shutdown']",78,525,732,ML13182A476.txt,O,O
5343,"['as', 'exelon', 'failed', 'to', 'ensure', 'that', 'the', 'local', 'control', 'circuits', 'for', 'several', 'breakers', 'would', 'be', 'isolated', 'from', 'the', 'effects', 'of', 'fire']",78,732,876,ML13182A476.txt,O,O
5359,"['by', 'not', 'testing', 'these', 'there', 'are', 'failure', 'mechanisms', 'that', 'are', 'not', 'such', 'as', 'deck', 'of', 'contacts', 'failing', 'to', 'rotate']",80,1103,1241,ML13182A476.txt,T,O
5942,"['the', 'failure', 'to', 'translate', 'the', 'design', 'basis', 'into', 'drawings', 'and', 'the', 'plant', 'configuration', 'is', 'performance']",93,978,1090,ML071350662.txt,P,O
6323,"['unit', 'and', 'egs', 'fouling', 'action', 'curve']",122,0,69,ML092050743.txt,O,O
6391,"['the', 'inspectors', 'determined', 'that', 'failure', 'to', 'survey', 'and', 'label', 'the', 'contaminated', 'hose', 'fitting', 'constituted', 'performance', 'in', 'that', 'dominion', 'procedure', 'rpm', 'control', 'of', 'material', 'and', 'requires', 'surveys', 'be', 'performed', 'to', 'ensure', 'that', 'contaminated', 'equipment', 'is', 'identified', 'and', 'handled', 'properly', 'to', 'ensure', 'compliance', 'with', 'cfr', 'part', 'subpart', 'and', 'and', 'was', 'reasonably', 'within', 'ability', 'to', 'foresee', 'and']",164,187,660,ML092050743.txt,P,O
6394,"['by', 'not', 'surveying', 'and', 'labeling', 'the', 'hose', 'workers', 'could', 'have', 'received', 'unplanned', 'exposure', 'when', 'not', 'informed', 'of', 'the', 'radiological', 'hazard']",164,1121,1269,ML092050743.txt,O,O
6395,"['procedure', 'rpm', 'control', 'of', 'material', 'and', 'was', 'not', 'properly', 'implemented', 'to', 'ensure', 'compliance', 'with', 'cfr', 'part', 'subpart', 'and']",164,1269,1459,ML092050743.txt,O,P
6550,"['seismic', 'american', 'society', 'of', 'mechanical', 'engineers', 'piping', 'to', 'safetyrelated', 'asme', 'code', 'class', 'piping', 'without', 'an', 'appropriate', 'means', 'of']",214,0,157,ML092050743.txt,O,P
6642,"['rcs', 'radiochemistry', 'indicates', 'probable', 'fuel', 'failure', 'in', 'cycle', 'caps']",240,1666,1764,ML092050743.txt,D,O
6663,"['condition', 'report', 'vds', 'instrumentation', 'out', 'of', 'calibration']",247,1773,1849,ML092050743.txt,T,P
