text,line,start_pos,end_pos,file,label_Frenard,label_SALLY
"The NRC's program for overseeing the safe operation of commercial nuclear power reactors is described in NUREG-1649, ""Reactor Oversight Process,"" Revision 3, dated July 2000.",31,609,783,ML071350662.txt,U,U
A. NRC-Identified and Self-Revealing Findings Cornerstone: Mitigating Systems Ã¥Ã¡ Green.,31,783,869,ML071350662.txt,U,U
"The inspectors identified a Green noncited violation of 10 CFR 50 Appendix B, Criterion III, ""Design Control,"" for failure to assure that the design basis, as specified in the license application, was correctly translated into drawings and the actual plant configuration.",31,869,1140,ML071350662.txt,"D, O, P",D
"Specifically, Waterford Final Safety Analysis Report, Section 2.4.2.3.3.d, describes openings in the dry cooling tower cubicles that help preclude the possibility of flooding Motor Control Centers 3A315-S and 3B315-S during the probable maximum precipitation event.",31,1140,1405,ML071350662.txt,U,U
These openings serve as a backup to the floor drains located in each cubicle.,31,1405,1482,ML071350662.txt,U,U
"Current plant configuration and Drawing G-499 S06, ""Common Foundation Structure, Masonry,"" Sheet 6, do not conform to the design basis, in that there are no openings other than the floor drains.",31,1482,1676,ML071350662.txt,D,D
"These motor control centers control power to the wet and dry cooling tower fans, which act as the ultimate heat sink.",31,1676,1793,ML071350662.txt,U,U
The licensee entered this issue into their corrective action program for resolution.,31,1793,1877,ML071350662.txt,U,U
This finding is more than minor because it is associated with the design control attribute and affects the Mitigating Systems cornerstone objective to ensure the reliability of the dry cooling tower system during the probable maximum precipitation event on the plant site.,31,1877,2149,ML071350662.txt,D,U
The normal floor drains had historically clogged and the drainage openings were needed to limit flood related challenges to the motor control centers.,31,2149,2299,ML071350662.txt,U,U
"The finding was determined to be of very low safety significance because the deficiency did not represent an actual loss of the wet and dry cooling tower systems safety functions during the past year per ""Part 9900: Technical Guidance, Operability Determinations & Functional Assessments for Resolution of Degraded or Nonconforming Conditions Adverse to Quality"" (Section 1R12.2).",31,2299,2679,ML071350662.txt,U,U
-2-,33,0,3,ML071350662.txt,U,U
Enclosure,35,0,9,ML071350662.txt,U,U
Ã¥Ã¡,37,0,2,ML071350662.txt,U,U
Green.,39,0,6,ML071350662.txt,U,U
The inspectors identified a finding of very low safety significance for failure to assure that the design basis for the dry cooling tower diesel-driven sump pumps was properly implemented.,39,6,194,ML071350662.txt,D,D
"Specifically, the Train B dry cooling tower diesel-driven sump pump was stored near nonseismic equipment which could fall and damage the pump during an operating-basis earthquake.",39,194,373,ML071350662.txt,U,U
The dry cooling tower diesel-driven sump pumps are equipment important to safety that are required to protect the ultimate heat sink during a standard project storm coincident with an operating-basis earthquake.,39,373,584,ML071350662.txt,U,U
The licensee entered this deficiency into their corrective action program for resolution.,39,584,673,ML071350662.txt,U,U
"The finding was greater than minor because it affected the mitigating systems cornerstone objective (design control attribute) to assure the availability, reliability, and capability of systems that respond to initiating events to prevent undesirable consequences.",39,673,937,ML071350662.txt,U,U
"Using the Phase 1 worksheet in Manual Chapter 0609, ""Significance Determination Process,"" the inspectors determined that this finding was of very low safety significance because the finding was a design deficiency that was confirmed not to result in a loss of operability per ""Part 9900, Technical Guidance, Operability Determination Process for Operability and Functional Assessment.""",39,937,1322,ML071350662.txt,U,U
The inspectors determined the cause of this finding was not related to a crosscutting element because the performance deficiency does not reflect current operating performance (Section 4OA5).,39,1322,1513,ML071350662.txt,U,U
B.,41,0,2,ML071350662.txt,U,U
Licensee-Identified Violations.,43,0,31,ML071350662.txt,U,U
"A violation of very low safety significance, which was identified by the licensee, has been reviewed by the inspectors.",43,31,150,ML071350662.txt,U,U
Corrective actions taken or planned by the licensee have been entered into the licensee's corrective action program.,43,150,266,ML071350662.txt,U,U
This violation and the applicable corrective actions are listed in Section 4OA7.,43,266,346,ML071350662.txt,U,U
-3-,45,0,3,ML071350662.txt,U,U
Enclosure,47,0,9,ML071350662.txt,U,U
"REPORT DETAILS Summary of Plant Status: The plant began the period on January 1, 2007, at 100 percent power and remained at approximately 100 percent for the remainder of the inspection period.",49,0,194,ML071350662.txt,U,U
1,49,194,196,ML071350662.txt,U,U
"REACTOR SAFETY Cornerstones: Initiating Events, Mitigating Systems, and Barrier Integrity 1R01 Adverse Weather Protection (71111.01) .1 a.",49,196,334,ML071350662.txt,U,U
Readiness For Seasonal Susceptibilities Inspection Scope The inspectors completed a review of the licensee's readiness of seasonal susceptibilities of missile impact due to high winds.,49,334,518,ML071350662.txt,U,U
"The inspectors: (1) reviewed plant procedures, the Final Safety Analysis Report, and Technical Specifications to ensure that operator actions defined in adverse weather procedures maintained the readiness of essential systems; (2) evaluated operator staffing levels to ensure the licensee could maintain the readiness of essential systems required by plant procedures; and (3) reviewed the corrective action program to determine if the licensee identified and corrected problems related to adverse weather conditions.",49,518,1035,ML071350662.txt,U,U
The inspectors selected the following three risk-significant systems for this inspection: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Dry cooling towers Emergency feedwater Main steam (atmospheric dump valves),49,1035,1206,ML071350662.txt,U,U
"Documents reviewed by the inspectors included Operating Procedure OP-901-521, ""Severe Weather and Flooding,"" Revision 4-3, and Engineering Calculation EC-C99-008, ""TORMIS Analysis: Tornado Generated Missile Strike at Waterford 3,"" Revision 1.",51,0,242,ML071350662.txt,U,U
The inspectors completed one sample.,51,242,278,ML071350662.txt,U,U
b.,51,278,280,ML071350662.txt,U,U
Findings No findings of significance were identified.,51,280,333,ML071350662.txt,U,U
-4-,53,0,3,ML071350662.txt,U,U
Enclosure,55,0,9,ML071350662.txt,U,U
1R04 Equipment Alignment (71111.04) .1 a.,57,0,42,ML071350662.txt,U,U
"Partial Walkdown Inspection Scope The inspectors: (1) walked down portions of the three below listed risk important systems, while the redundant train was out of service for maintenance, and reviewed plant procedures and documents to verify that critical portions of the selected systems were correctly aligned; (2) reviewed outstanding work requests; and (3) verified that the licensee was identifying and correcting deficiencies through their corrective action program.",57,42,513,ML071350662.txt,U,U
"Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ January 17, 2007: Auxiliary Component Cooling Water System Train A February 1, 2007: Component Cooling Water System Train A February 5, 2007: Component Cooling Water System Train B",57,513,699,ML071350662.txt,U,U
Documents reviewed by the inspectors are listed in the attachment.,59,0,66,ML071350662.txt,U,U
The inspectors completed three samples.,59,66,105,ML071350662.txt,U,U
b.,59,105,107,ML071350662.txt,U,U
Findings No Findings of significance were identified.,59,107,160,ML071350662.txt,U,U
.2 a.,59,160,165,ML071350662.txt,U,U
"Complete Walkdown (71111.04S) Inspection Scope The inspectors: (1) reviewed plant procedures, drawings, the Final Safety Analysis Report, Technical Specifications, and vendor manuals to determine the correct alignment of emergency diesel generator Train A; (2) reviewed outstanding design issues, operator work arounds, and open work requests to verify that outstanding issues did not adversely affect the functionality of the system; and (3) verified that the licensee was identifying and resolving equipment problems in accordance with corrective action program requirements.",59,165,742,ML071350662.txt,U,U
Documents reviewed by the inspectors are listed in the attachment.,59,742,808,ML071350662.txt,U,U
The inspectors completed one sample.,59,808,844,ML071350662.txt,U,U
b.,59,844,846,ML071350662.txt,U,U
Findings No findings of significance were identified.,59,846,899,ML071350662.txt,U,U
-5-,61,0,3,ML071350662.txt,U,U
Enclosure,63,0,9,ML071350662.txt,U,U
1R05 Fire Protection (71111.05) .1 a.,65,0,38,ML071350662.txt,U,U
Quarterly Inspection Inspection Scope The inspectors walked down the six plant areas listed below to assess the material condition of active and passive fire protection features and their operational lineup and readiness.,65,38,259,ML071350662.txt,U,U
"The inspectors: (1) verified that transient combustibles and hot work activities were controlled in accordance with plant procedures; (2) observed the condition of fire detection devices to verify that they remained functional; (3) observed fire suppression systems to verify that they remained functional and that access to manual actuators was unobstructed; (4) verified that fire extinguishers and hose stations were provided at their designated locations and that they were in a satisfactory condition; (5) verified that passive fire protection features (electrical raceway barriers, fire doors, fire dampers, steel fire proofing, penetration seals, and oil collection systems) were in a satisfactory material condition; (6) verified that adequate compensatory measures were established for degraded or inoperable fire protection features and that the compensatory measures were commensurate with the significance of the deficiency; and (7) reviewed corrective action program documents to verify that the licensee identified and corrected fire protection problems.",65,259,1327,ML071350662.txt,U,U
"Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ January 21, 2007: Fire Zones RAB 1A, 2, 3, 5, 6, 7D, 8B, 11, 12, 13, and 32 February 2, 2007: Fire Zones RAB 8B, 18, 19, 23, and Cooling Tower A February 2, 2007: All outdoor fire station hose houses February 5, 2007: Fire Zones RAB 8A, 17, 21, 23, and Cooling Tower B February 8, 2007: Fire Zones RAB 8C, 11, 12, 13, 16, and 32 February 12, 2007: Fire Zones RAB 23, 31, 33, 36, 37, and 39",65,1327,1728,ML071350662.txt,U,U
Documents reviewed by the inspectors are listed in the attachment.,67,0,66,ML071350662.txt,U,U
The inspectors completed six samples.,67,66,103,ML071350662.txt,U,U
b.,67,103,105,ML071350662.txt,U,U
Findings No findings of significance were identified.,67,105,158,ML071350662.txt,U,U
.2 a.,67,158,163,ML071350662.txt,U,U
"Annual Inspection Inspection Scope On February 6, 2007, the inspectors observed a fire brigade drill to evaluate the readiness of licensee personnel to prevent and fight fires, including the following aspects: (1) the number of personnel assigned to the fire brigade, (2) use of protective clothing, (3) use of breathing apparatuses, (4) use of fire procedures and declarations of emergency action levels, (5) command of the fire brigade, (6) implementation of prefire strategies and briefs, (7) access routes to the fire and the timeliness of the fire brigade response, (8) establishment of communications, (9) effectiveness of radio -6Enclosure",67,163,809,ML071350662.txt,U,U
"communications, (10) placement and use of fire hoses, (11) entry into the fire area, (12) use of fire fighting equipment, (13) searches for fire victims and fire propagation, (14) smoke removal, (15) use of prefire plans, (16) adherence to the drill scenario, (17) performance of the postdrill critique, and (18) restoration from the fire drill.",69,0,346,ML071350662.txt,U,U
The licensee simulated a fire in switchgear Panel 23A in the condensate polisher building.,69,346,436,ML071350662.txt,U,U
Documents reviewed by the inspectors are listed in the attachment.,69,436,502,ML071350662.txt,U,U
The inspectors completed one sample.,69,502,538,ML071350662.txt,U,U
b.,69,538,540,ML071350662.txt,U,U
Findings No findings of significance were identified.,69,540,593,ML071350662.txt,U,U
1R11 Licensed Operator Requalification Program (71111.11) .1 a.,69,593,656,ML071350662.txt,U,U
"Training Observation Inspection Scope On January 29, 2007, the inspectors observed training of senior reactor operators and reactor operators to identify deficiencies and discrepancies in the training, to assess operator performance, and to assess the evaluator's critique.",69,656,929,ML071350662.txt,U,U
"The training scenario involved a pressurizer level instrument failure, a dropped control element assembly, a turbine control failure to manual, an additional dropped control element assembly, a loss of offsite power in conjunction with a failure of an emergency diesel generator to autostart, and a main steam line break inside containment with a failure of containment spray to actuate.",69,929,1316,ML071350662.txt,U,U
"Documents reviewed by the inspectors included: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Emergency Operating Procedure OP-902-000, ""Standard Post Trip Actions,"" Revision 10 Emergency Operating Procedure OP-902-003, ""Loss of Offsite Power/Loss of Forced Flow,"" Revision 5 Emergency Planning Procedure EP-001-001, ""Recognition and Classification of Emergency Conditions,"" Revision 21",69,1316,1661,ML071350662.txt,U,U
The inspectors completed one sample.,71,0,36,ML071350662.txt,U,U
b.,71,36,38,ML071350662.txt,U,U
Findings No findings of significance were identified.,71,38,91,ML071350662.txt,U,U
-7-,73,0,3,ML071350662.txt,U,U
Enclosure,75,0,9,ML071350662.txt,U,U
.2 a.,77,0,6,ML071350662.txt,U,U
"Biennial Inspection Inspection Scope The following inspection activities were performed using Inspection Procedure 71111.11, ""Licensed Operator Requalification Program,"" and 10 CFR 55.46, ""Simulation Facilities,"" as acceptance criteria.",79,0,236,ML071350662.txt,U,U
"The purpose of this review was to determine if the simulator was capable of supporting initial examinations, supporting requalification training required for all licensed operators on shift, and supporting reactivity and control manipulations for initial license applications.",79,236,512,ML071350662.txt,U,U
"The inspector reviewed the simulator annual performance test book for 2006 in which most of the annual tests were conducted between September and December 2006, using ANS/ANSI 3.5 -1998, ""Nuclear Power Plant Simulators for Use in Operator Training and Examination,"" as committed to by the licensee in their simulator testing procedure ""Simulator Annual Performance Tests,"" WSIM-DIR-003-ANNUAL TESTS, Revision 3.0.",79,512,925,ML071350662.txt,U,U
"Because the licensee communicated to the inspector that the simulator would not be used for reactivity manipulation credits on the next exam, a small sample of the core performance test documents were reviewed in order to assess the adequacy of the simulator in supporting reactivity and control manipulations for future exams as documented on NRC Form 398 ""Personal Qualification Statement.""",79,925,1317,ML071350662.txt,U,U
"While simulator use for reactivity and control manipulation is permitted by 10 CFR 55.46, the simulator must meet the appropriate standards of fidelity, as required by 10 CFR 55.46(c)(2).",79,1317,1504,ML071350662.txt,U,U
Documents reviewed during the inspection are listed in the back of this report.,79,1504,1583,ML071350662.txt,U,U
The inspector reviewed the criteria in 10 CFR 55.46(c)(2) against the core performance test document samples and the Cycle 15 test data from the plant.,79,1583,1734,ML071350662.txt,U,U
"The simulator was using the Cycle 15 core load for the current training cycle and no issues were found One transient test, two scenario-based test packages, and a work package closeout test were run on the simulator with data capture enabled, in order to verify data collected from previous tests was an accurate representation of the test data ran during the testing in December of 2006 and also a verification of reasonable model performance based on the current design of the plant.",79,1734,2219,ML071350662.txt,U,U
"These tests were: (1) Simultaneous Closure of all Main Steam Isolation Valves-Transient Test Three; (2) Design Basis Loss of Coolant Accident with Subsequent Loss of Off-Site Power-Scenario P-96; (3) Steam Generator Tube Leak-Scenario P-95; and (4) discrepancy work package for the ""B"" Train Emergency Diesel Generator Trip Discrepancy.",79,2219,2555,ML071350662.txt,U,U
These items are listed in the back of this report.,79,2555,2605,ML071350662.txt,U,U
"As part of this review, the inspector interviewed one instructor, one evaluator, two reactor operators, two senior reactor operators, both simulator engineers, the simulator support supervisor, and the operations training manager.",79,2605,2835,ML071350662.txt,U,U
"The interviews were performed in order to collect feedback regarding the fidelity of the simulator, the simulator discrepancy reporting system effectiveness, and training on differences between the simulator and the plant.",79,2835,3057,ML071350662.txt,U,U
The inspector reviewed several program documents that describe the overall simulator program.,79,3057,3150,ML071350662.txt,U,U
One item specifically related to this review was how management groups such as the simulator review board coordinate discrepancy priorities and subsequent repair decisions.,79,3150,3322,ML071350662.txt,U,U
These decisions include cost -8Enclosure,79,3322,3362,ML071350662.txt,U,U
versus training impact for major model upgrades that would improve training on the emergency operating procedures and integrated plant operations.,81,0,147,ML071350662.txt,U,U
"These items were reviewed in order to satisfy the requirements of 10 CFR 55.46(d) for continued assurance of simulator fidelity through problem identification and resolution, proper reporting, root cause evaluations, and a planned schedule for implementing timely corrective actions with proper content.",81,147,450,ML071350662.txt,U,U
"The licensee communicated to the inspector that the balance of plant model was being replaced later this year, with work scheduled to be complete and rolled out to training by the end of the calendar year.",81,450,655,ML071350662.txt,U,U
The licensee also communicated to the inspector that many of the major hardware components were replaced in 2002. b.,81,655,771,ML071350662.txt,U,U
Findings No findings of significance were identified.,81,771,824,ML071350662.txt,U,U
1R12 Maintenance Effectiveness (71111.12) .1 a.,81,824,871,ML071350662.txt,U,U
"Routine Maintenance Effectiveness Inspection Scope The inspectors reviewed the two equipment performance issues listed below to: (1) verify the appropriate handling of structure, system, and component performance or condition problems; (2) verify the appropriate handling of degraded structure, system, and component functional performance; (3) evaluate the role of work practices and common cause problems; and (4) evaluate the handling of structure, system, and component issues reviewed under the requirements of the Maintenance Rule, 10 CFR Part 50 Appendix B, and the Technical Specifications.",81,871,1469,ML071350662.txt,U,U
Ã¥Ã¡ Ã¥Ã¡ Dry cooling tower elevated fan vibration Rust on auxiliary component cooling water structural components,81,1469,1577,ML071350662.txt,U,U
Documents reviewed by the inspectors are listed in the attachment.,83,0,66,ML071350662.txt,U,U
The inspectors completed two inspection samples.,83,66,114,ML071350662.txt,U,U
b.,83,114,116,ML071350662.txt,U,U
Findings No findings of significance were identified.,83,116,169,ML071350662.txt,U,U
".2 a. Triennial Periodic Evaluation Inspection Scope The inspector reviewed the licensee's overall implementation of the maintenance rule, 10 CFR 50.65, ""Requirements for Monitoring the Effectiveness of Maintenance at",83,169,386,ML071350662.txt,U,U
-9-,85,0,3,ML071350662.txt,U,U
Enclosure,87,0,9,ML071350662.txt,U,U
"Nuclear Power Plants.""",89,0,23,ML071350662.txt,U,U
"The inspector assessed the effectiveness of corrective actions and program adjustments performed as a result of the previous periodic evaluation, dated September 14, 2005.",89,23,194,ML071350662.txt,U,U
No new periodic evaluations were completed since the last triennial periodic evaluation inspection.,89,194,293,ML071350662.txt,U,U
"The inspector selected samples of structures, systems, and components within the scope of the licensee's maintenance rule program that experienced degraded performance at some point during the review period.",89,293,500,ML071350662.txt,U,U
These samples were used to assess the licensee's response to the degraded performance within the scope of the maintenance rule program.,89,500,635,ML071350662.txt,U,U
Inspection Procedure 71111.12T requires that the inspector review four to six structure system and component samples.,89,635,752,ML071350662.txt,U,U
The inspector selected the following four samples for a detailed review: Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Ã¥Ã¡ Emergency feedwater Main feedwater and controls Essential chillers Dry and wet cooling tower structures,89,752,936,ML071350662.txt,U,U
"For these structures systems and components, the inspector reviewed procedures, condition reports, functional failure determinations, and plans for an (a)(1) Corrective Action Plan.",91,0,181,ML071350662.txt,U,U
"Additionally, the inspector reviewed the licensee's scoping and monitoring of the dry cooling tower drains to confirm appropriate inclusion in the maintenance rule program and the development of appropriate acceptance criteria.",91,181,408,ML071350662.txt,U,U
"Finally, the inspector reviewed adjustments to the scope of the maintenance rule program and changes made during the assessment period.",91,408,543,ML071350662.txt,U,U
The inspector completed four inspection samples.,91,543,591,ML071350662.txt,U,U
b.,91,591,593,ML071350662.txt,U,U
Findings Introduction.,91,593,615,ML071350662.txt,U,U
"The inspector identified a Green noncited violation (NCV) of 10 CFR 50 Appendix B, Criterion III, ""Design Control,"" for failure to assure that the design basis, as specified in the license application, was correctly translated into drawings and the actual plant configuration.",91,615,891,ML071350662.txt,U,U
Description.,91,891,903,ML071350662.txt,U,U
"Waterford Final Safety Analysis Report, Section 2.4.2.3.3.d discusses the design function of the dry cooling tower structure to drain the dry cooling tower cubicle areas in order to protect safety-related transformers and motor control centers during the probable maximum precipitation event on the plant site.",91,903,1213,ML071350662.txt,U,U
The Final Safety Analysis Report states that openings are provided for the respective dry cooling tower cubicles in order to further preclude the possibility of flooding Motor Control Centers 3A315-S and 3B315-S.,91,1213,1425,ML071350662.txt,U,U
"Specifically, these openings will drain water from the cubicle in the event of localized drain clogging.",91,1425,1529,ML071350662.txt,U,U
This will prevent water from rising above a critical depth of 1.4'.,91,1529,1596,ML071350662.txt,U,U
These openings are intended to serve as a backup to the floor drains located in each cubicle.,91,1596,1689,ML071350662.txt,U,U
"When asked to locate the openings, the licensee initiated Condition Reports CR-WF3-2007-00818 and CR-WF3-2007-00830 to document that the plant -10Enclosure",91,1689,1844,ML071350662.txt,U,U
"configuration and Drawing G-499 S06, ""Common Foundation Structure, Masonry,"" Sheet 6, dated April 15, 1991, do not conform to the Final Safety Analysis Report, Section 2.4.2.3.3.d in that there are no openings other than the floor drain in the dry cooling tower cubicles containing Motor Control Centers 3A315-S and 3B315-S.",93,0,325,ML071350662.txt,U,U
The licensee presented a position paper related to the dry cooling tower areas cubicle openings.,93,325,421,ML071350662.txt,U,U
The inspector reviewed the licensee's position paper and determined that the minor example cited in the paper did not apply to this performance deficiency.,93,421,576,ML071350662.txt,U,U
"Specifically, the inspector determined that the performance deficiency did not constitute a minor dimensional discrepancy because there was a loss of the design function of the openings to further preclude the possibility of flooding Motor Control Centers 3A315-S and 3B315-S.",93,576,852,ML071350662.txt,U,U
"These motor control centers control power to the wet and dry cooling tower fans, which act as the ultimate heat sink.",93,852,969,ML071350662.txt,U,U
Analysis.,93,969,978,ML071350662.txt,U,U
The failure to translate the design basis into drawings and the plant configuration is a performance deficiency.,93,978,1090,ML071350662.txt,"D,P,T","D, P"
The finding is more than minor because it is associated with the design control attribute and affects the Mitigating Systems cornerstone objective to ensure the reliability of the wet and dry cooling tower systems during the probable maximum precipitation event on the plant site.,93,1090,1370,ML071350662.txt,U,U
The normal floor drains had historically clogged and the drainage openings were needed to limit flood related challenges to the motor control centers.,93,1370,1520,ML071350662.txt,U,U
"The finding was determined to be of very low safety significance because the deficiency did not represent an actual loss of the wet and dry cooling tower systems safety functions per ""Part 9900: Technical Guidance, Operability Determinations & Functional Assessments for Resolution of Degraded or Nonconforming Conditions Adverse to Quality.""",93,1520,1862,ML071350662.txt,U,U
"Additionally, the floor drains remained available during the past year.",93,1862,1933,ML071350662.txt,U,U
The violation is not considered to have a cross-cutting aspect because it is not considered an indicator of current performance.,93,1933,2061,ML071350662.txt,U,U
Enforcement.,93,2061,2073,ML071350662.txt,U,U
"Part 50 of Title 10 of the Code of Federal Regulations, Appendix B, Criterion III, states, in part, that measures shall be established to assure that the design basis, as specified in the license application, is correctly translated into drawings.",93,2073,2320,ML071350662.txt,U,U
"Contrary to the above, prior to March 9, 2007, the licensee failed to assure that the design basis, as specified in the license application, was correctly translated into drawings and the actual plant configuration.",93,2320,2535,ML071350662.txt,U,U
